z_bar/h,u_bar,St
-0.0019999992441394423,0.80808301717389,0.01
-0.2500000003014036,2.336982447684751e-13,0.01
-0.49999999999999994,3.179584533345444e-20,0.01
-0.7499999999999998,4.791688780370531e-27,0.01
-0.0019999992441394423,0.80808301717389,0.1
-0.2500000003014036,2.336982447684751e-13,0.1
-0.49999999999999994,3.179584533345444e-20,0.1
-0.7499999999999998,4.791688780370531e-27,0.1
-0.0019999992441394423,0.80808301717389,1.0
-0.2500000003014036,2.336982447684751e-13,1.0
-0.49999999999999994,3.179584533345444e-20,1.0
-0.7499999999999998,4.791688780370531e-27,1.0
-0.0019999992441394423,0.80808301717389,10.0
-0.2500000003014036,2.336982447684751e-13,10.0
-0.49999999999999994,3.179584533345444e-20,10.0
-0.7499999999999998,4.791688780370531e-27,10.0
