t,u_bar,w_bar,delta_t,method
1.3872556840828345,0.09210563238884302,-0.12472335313271818,0.001,Santamaria
2.184446171827776,0.07608685465398729,-0.12474961639031629,0.001,Santamaria
2.9803176664852824,0.0630240158125765,-0.12477125191746447,0.001,Santamaria
3.7751131211310742,0.0523352743423985,-0.12478943796509609,0.001,Santamaria
4.569027603912678,0.04356320554699849,-0.12480498251806256,0.001,Santamaria
5.36221858873193,0.03634510074193356,-0.1248184524194561,0.001,Santamaria
6.154813811784315,0.030390288022746865,-0.12483027119012598,0.001,Santamaria
6.946917192198011,0.025467748809400493,-0.12484071360345687,0.001,Santamaria
7.738613573714607,0.021390410446652644,-0.12484999581900587,0.001,Santamaria
8.529972470665777,0.018005052679682398,-0.12485831066354271,0.001,Santamaria
9.321050896093736,0.015190519611040202,-0.12486575796316939,0.001,Santamaria
10.11189578050546,0.012845054485336422,-0.12487246524489763,0.001,Santamaria
10.902545810687355,0.010887103973109671,-0.12487851260847822,0.001,Santamaria
11.693032925223424,0.009248916650675742,-0.12488398282018366,0.001,Santamaria
12.483383572283781,0.007876810013433181,-0.12488891643473107,0.001,Santamaria
13.273619647009916,0.006724042312175821,-0.1248933907695217,0.001,Santamaria
14.06375934538254,0.0057541994316472065,-0.12489743997041684,0.001,Santamaria
14.853817799801366,0.00493648392028,-0.12490110724158167,0.001,Santamaria
15.643807616586876,0.004245516228940627,-0.12490443023573038,0.001,Santamaria
16.43373931555217,0.0036603431735029585,-0.12490744218997997,0.001,Santamaria
17.223621690415136,0.003163636688401234,-0.1249101726900533,0.001,Santamaria
18.013462104884923,0.0027410437766352646,-0.12491264825842267,0.001,Santamaria
18.803266736307606,0.0023806574536609664,-0.12491489277281574,0.001,Santamaria
19.593040776429113,0.0020725849461454477,-0.12491692779269818,0.001,Santamaria
20.382788638047156,0.0018087419241600373,-0.12491877051120123,0.001,Santamaria
21.172513992663127,0.001581985852613711,-0.12492044303176787,0.001,Santamaria
21.962219953267105,0.0013866934342547294,-0.12492195977154677,0.001,Santamaria
22.751909181734213,0.0012181572254946862,-0.12492333401313824,0.001,Santamaria
23.54158396230378,0.0010723762715355064,-0.12492457882714969,0.001,Santamaria
24.331246166311065,0.0009458096762931545,-0.12492570897989091,0.001,Santamaria
25.120897445603948,0.0008357972263457615,-0.12492673272945953,0.001,Santamaria
25.910539238455506,0.0007399623205324394,-0.12492765988779907,0.001,Santamaria
26.700172691392808,0.0006561526011413263,-0.12492850167531719,0.001,Santamaria
27.48979887649289,0.0005828333426460191,-0.12492926365990355,0.001,Santamaria
28.27941868618837,0.0005184868324619511,-0.12492995446254976,0.001,Santamaria
29.069032845794705,0.00046186169124019463,-0.12493058124731476,0.001,Santamaria
29.858642103161063,0.0004120498783497077,-0.12493114802389824,0.001,Santamaria
30.64824696787515,0.0003680050918833934,-0.12493166280865715,0.001,Santamaria
31.43784796426811,0.000329073967412994,-0.12493212895503363,0.001,Santamaria
32.227445561587494,0.00029459616668512284,-0.12493255116287985,0.001,Santamaria
33.01704008197226,0.0002639595398345888,-0.12493293439057117,0.001,Santamaria
33.80663194875211,0.00023677919885498812,-0.12493328086161982,0.001,Santamaria
34.596221384768306,0.00021254028193392442,-0.12493359552429925,0.001,Santamaria
35.385808679692296,0.0001909517901060631,-0.1249338803735923,0.001,Santamaria
36.175394078099416,0.00017168480484373982,-0.12493413846077162,0.001,Santamaria
36.96497772906242,0.0001544480752037612,-0.1249343726240989,0.001,Santamaria
37.7545599050192,0.00013905879139516287,-0.12493458430986759,0.001,Santamaria
38.54414067065982,0.00012524424399984346,-0.12493477663083252,0.001,Santamaria
39.3337202306602,0.00011288024155475895,-0.12493495057723289,0.001,Santamaria
1.3872556808137402,0.09210563388325482,-0.12472334097068143,0.001,Daitche
2.1844461688530923,0.07608685757142919,-0.12474960665630815,0.001,Daitche
2.980317663860607,0.0630240192818662,-0.12477124412666081,0.001,Daitche
3.775113118866941,0.05233527792933983,-0.1247894317407398,0.001,Daitche
4.569027601995302,0.04356320900739162,-0.12480497756754277,0.001,Daitche
5.362218587134855,0.03634510394744852,-0.12481844849555565,0.001,Daitche
6.154813810475399,0.030390290912798205,-0.12483026809934429,0.001,Daitche
6.946917191144428,0.02546775136796031,-0.12484071118017599,0.001,Daitche
7.738613572884223,0.021390412683370084,-0.12484999393353448,0.001,Daitche
8.529972470028985,0.018005054622756388,-0.12485830921611675,0.001,Daitche
9.321050895623609,0.015190521287159866,-0.12486575685802816,0.001,Daitche
10.111895780179042,0.01284505592963946,-0.12487246441669118,0.001,Daitche
10.90254581048394,0.010887105212127244,-0.12487851200051506,0.001,Daitche
11.693032925125397,0.009248917712493053,-0.12488398238645959,0.001,Daitche
12.48338357227563,0.0078768109251909,-0.12488891613801273,0.001,Daitche
13.273619647079386,0.006724043091907498,-0.12489339057924762,0.001,Daitche
14.063759345518262,0.005754200101287016,-0.12489743986384573,0.001,Daitche
14.853817799994282,0.00493648449624701,-0.12490110719648057,0.001,Daitche
15.643807616828768,0.004245516725088287,-0.12490443023699832,0.001,Daitche
16.433739315836856,0.0036603436000360997,-0.12490744222082684,0.001,Daitche
17.223621690736316,0.0031636370511956237,-0.12491017274399815,0.001,Daitche
18.013462105237494,0.0027410440879143826,-0.12491264833061197,0.001,Daitche
18.80326673668709,0.002380657719658108,-0.12491489285789456,0.001,Daitche
19.593040776831888,0.0020725851753484867,-0.12491692788556995,0.001,Daitche
20.382788638469798,0.0018087421191675794,-0.12491877060625858,0.001,Daitche
21.17251399310305,0.001581986020846992,-0.12492044312861585,0.001,Daitche
21.962219953721934,0.0013866935778430486,-0.12492195986586237,0.001,Daitche
22.75190918220191,0.001218157349318551,-0.12492333410571342,0.001,Daitche
23.54158396278288,0.001072376379174953,-0.12492457891687125,0.001,Daitche
24.33124616680025,0.0009458097697894731,-0.1249257090659645,0.001,Daitche
25.12089744610195,0.0008357973075486928,-0.12492673281136575,0.001,Daitche
25.91053923896144,0.0007399623914996654,-0.12492765996524134,0.001,Daitche
26.700172691905877,0.0006561526632118955,-0.12492850174809791,0.001,Daitche
27.489798877012372,0.0005828333969195635,-0.12492926372802422,0.001,Daitche
28.27941868671371,0.0005184868802365683,-0.12492995452604061,0.001,Daitche
29.06903284632546,0.0004618617331987264,-0.1249305813062865,0.001,Daitche
29.858642103696713,0.0004120499153143623,-0.12493114807852167,0.001,Daitche
