t,xdot,beta
0.01,166.12485404699274,0.01
0.02,58.734005410127025,0.01
0.03,31.97074306770618,0.01
0.04,20.765606755874092,0.01
0.05,14.858658656052272,0.01
0.06,11.303364611373926,0.01
0.07,8.969898987658055,0.01
0.08,7.341750676265878,0.01
0.09,6.152772372110842,0.01
0.1,5.253329147515377,0.01
0.11,4.5535025555903195,0.01
0.12,3.9963428834632726,0.01
0.13,3.544211120682862,0.01
0.14,3.1713382003656796,0.01
0.15,2.859550191622848,0.01
0.16,2.5957008444842615,0.01
0.17,2.3700703123739397,0.01
0.18,2.1753335337084083,0.01
0.19,2.0058765950174107,0.01
0.2,1.857332332006534,0.01
0.21,1.7262578650427105,0.01
0.22,1.6099062676040945,0.01
0.23,1.5060620261706852,0.01
0.24,1.4129205764217407,0.01
0.25,1.3289988323759419,0.01
0.26,1.2530678586958124,0.01
0.27,1.184101595100229,0.01
0.28,1.121237373457257,0.01
0.29,1.0637452052368863,0.01
0.3,1.0110036658199035,0.01
0.31,0.9624807930730332,0.01
0.32,0.9177188345332348,0.01
0.33,0.8763219754085734,0.01
0.34,0.8379463948842658,0.01
0.35,0.8022921555083986,0.01
0.36,0.7690965465138553,0.01
0.37,0.7381285884209701,0.01
0.38,0.7091844712800967,0.01
0.39,0.6820837481970385,0.01
0.4,0.6566661434394221,0.01
0.41,0.6327888634076703,0.01
0.42,0.6103243212241563,0.01
0.43,0.5891582032297443,0.01
0.44,0.5691878194487899,0.01
0.45,0.550320690964899,0.01
0.46,0.5324733357964214,0.01
0.47,0.515570221769225,0.01
0.48,0.4995428604329091,0.01
0.49,0.48432902054516835,0.01
0.5,0.46987204328101606,0.01
0.51,0.45612024428247816,0.01
0.52,0.44302639008535777,0.01
0.53,0.430547238448841,0.01
0.54,0.41864313375458967,0.01
0.55,0.4072776500007588,0.01
0.56,0.39641727504570995,0.01
0.5700000000000001,0.3860311306981572,0.01
0.58,0.376090724038839,0.01
0.59,0.3665697260207847,0.01
0.6,0.357443773952856,0.01
0.61,0.34869029494237175,0.01
0.62,0.340288347771874,0.01
0.63,0.33221848102437246,0.01
0.64,0.3244626055605327,0.01
0.65,0.3170038796983036,0.01
0.66,0.3098266056570965,0.01
0.67,0.3029161360103493,0.01
0.68,0.29625878904674247,0.01
0.6900000000000001,0.28984177207530604,0.01
0.7000000000000001,0.28365311182638037,0.01
0.71,0.277681591201552,0.01
0.72,0.27191669171355104,0.01
0.73,0.26634854103355865,0.01
0.74,0.2609678651300611,0.01
0.75,0.25576594454164947,0.01
0.76,0.25073457437717633,0.01
0.77,0.24586602768140922,0.01
0.78,0.24115302184363174,0.01
0.79,0.2365886877612318,0.01
0.8,0.23216654150081675,0.01
0.81,0.22788045822632746,0.01
0.8200000000000001,0.22372464818744578,0.01
0.8300000000000001,0.21969363458269245,0.01
0.84,0.2157822331303388,0.01
0.85,0.21198553319689162,0.01
0.86,0.20829888034771715,0.01
0.87,0.20471786019756333,0.01
0.88,0.2012382834505118,0.01
0.89,0.19785617202941383,0.01
0.9,0.19456774620427322,0.01
0.91,0.19136941263747723,0.01
0.92,0.18825775327133565,0.01
0.93,0.18522951499018672,0.01
0.94,0.18228159999543558,0.01
0.95,0.17941105683738987,0.01
0.96,0.1766150720527176,0.01
0.97,0.17389096236082088,0.01
0.98,0.1712361673764636,0.01
0.99,0.1686482427996415,0.01
1.0,0.16612485404699273,0.01
1.01,0.1636637702920438,0.01
1.02,0.16126285888430242,0.01
1.03,0.15892008011968148,0.01
1.04,0.15663348233697655,0.01
1.05,0.1544011973171663,0.01
1.06,0.15222143596415846,0.01
1.07,0.1500924842473019,0.01
1.08,0.14801269938752862,0.01
1.09,0.14598050627040093,0.01
1.1,0.1439943940706289,0.01
1.11,0.14205291307380183,0.01
1.12,0.14015467168215712,0.01
1.13,0.13829833359219945,0.01
1.14,0.13648261513288876,0.01
1.15,0.1347062827539488,0.01
1.16,0.1329681506546108,0.01
1.17,0.13126707854380973,0.01
1.18,0.12960196952349584,0.01
1.19,0.12797176808731867,0.01
1.2,0.12637545822748794,0.01
1.21,0.12481206164312002,0.01
1.22,0.1232806360438442,0.01
1.23,0.12178027354287191,0.01
1.24,0.12031009913412916,0.01
1.25,0.11886926924841817,0.01
1.26,0.11745697038391409,0.01
1.27,0.11607241780661483,0.01
1.28,0.11471485431665435,0.01
1.29,0.11338354907665638,0.01
1.3,0.11207779649855752,0.01
1.31,0.11079691518555755,0.01
1.32,0.10954024692607167,0.01
1.33,0.10830715573675694,0.01
1.34,0.10709702695187226,0.01
1.35,0.10590926635640174,0.01
1.36,0.10474329936053323,0.01
1.37,0.10359857021323175,0.01
1.38,0.10247454125278732,0.01
1.39,0.10137069219234544,0.01
1.4,0.10028651943854983,0.01
1.41,0.09922153544153901,0.01
1.42,0.09817526807464408,0.01
1.43,0.09714726004223202,0.01
1.44,0.09613706831423191,0.01
1.45,0.09514426358596573,0.01
1.46,0.09416842976198637,0.01
1.47,0.09320916346270024,0.01
1.48,0.09226607355262126,0.01
1.49,0.09133878068916991,0.01
1.5,0.0904269168909914,0.01
1.51,0.0895301251248252,0.01
1.52,0.08864805891001208,0.01
1.53,0.08778038193977554,0.01
1.54,0.08692676771846193,0.01
1.55,0.08608689921396843,0.01
1.56,0.08526046852462982,0.01
1.57,0.08444717655987445,0.01
1.58,0.08364673273399688,0.01
1.59,0.08285885467242946,0.01
1.6,0.08208326792992776,0.01
1.61,0.08131970572011597,0.01
1.62,0.08056790865586695,0.01
1.63,0.07982762450001919,0.01
1.64,0.07909860792595878,0.01
1.65,0.07838062028761877,0.01
1.66,0.07767342939847062,0.01
1.67,0.07697680931910515,0.01
1.68,0.07629054015301953,0.01
1.69,0.07561440785024703,0.01
1.7,0.07494820401848402,0.01
1.71,0.0742917257413856,0.01
1.72,0.07364477540371804,0.01
1.73,0.07300716052307123,0.01
1.74,0.07237869358784832,0.01
1.75,0.07175919190126445,0.01
1.76,0.07114847743109874,0.01
1.77,0.07054637666495579,0.01
1.78,0.0699527204708053,0.01
1.79,0.06936734396257868,0.01
1.8,0.06879008637061237,0.01
1.81,0.06822079091673733,0.01
1.82,0.06765930469382336,0.01
1.83,0.06710547854959611,0.01
1.84,0.06655916697455268,0.01
1.85,0.06602022799381012,0.01
1.86,0.06548852306272815,0.01
1.87,0.06496391696615515,0.01
1.88,0.06444627772115312,0.01
1.89,0.06393547648306334,0.01
1.9,0.06343138745478173,0.01
1.91,0.06293388779911724,0.01
1.92,0.062442857554113634,0.01
1.93,0.06195817955121937,0.01
1.94,0.06147973933619558,0.01
1.95,0.06100742509265713,0.01
1.96,0.060541127568146044,0.01
1.97,0.06008074000264104,0.01
1.98,0.05962615805941092,0.01
1.99,0.05917727975812369,0.01
2.0,0.05873400541012701,0.01
2.01,0.058296237555818836,0.01
2.02,0.057863880904030794,0.01
2.03,0.05743684227335029,0.01
2.04,0.05701503053530977,0.01
2.05,0.05659835655937521,0.01
2.06,0.0561867331596681,0.01
2.07,0.05578007504335871,0.01
2.08,0.05537829876066972,0.01
2.09,0.05498132265643325,0.01
2.1,0.05458906682314524,0.01
2.11,0.05420145305546452,0.01
2.12,0.05381840480610513,0.01
2.13,0.05343984714307323,0.01
2.14,0.05306570670820113,0.01
2.15,0.052695911676933785,0.01
2.16,0.05233039171932371,0.01
2.17,0.05196907796219316,0.01
2.18,0.051611902952422906,0.01
2.19,0.05125880062132973,0.01
2.2,0.05090970625009485,0.01
2.21,0.050564556436208254,0.01
2.22,0.05022328906089422,0.01
2.23,0.04988584325748548,0.01
2.24,0.049552159380713744,0.01
2.25,0.049222178976886743,0.01
2.26,0.048895844754921765,0.01
2.27,0.04857310055820794,0.01
2.28,0.04825389133726967,0.01
