t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z,F_x,F_z
0.0,0.9999999999999997,5.273559366969494e-16,-1.6653345369377348e-16,1.0,-5.273559366969494e-16,0.9999999999999997,3.608224830031759e-16,3.3306690738754696e-16,-0.0,-0.0,0.0,0.0,-7.427908772031802e-16,-1.2441747193153267e-15
0.01,0.9999608427623173,0.00999987448176709,-0.007908134417456358,0.9999622959353569,-0.00999987448176709,0.9999608427623173,0.002091740064310732,1.4531730395672682e-06,-0.0,-0.0,-0.050533673261841376,-7.18092445656079e-05,-0.05418460326615686,-5.624334576947207e-05
0.02,0.9998409113757024,0.01999899212764683,-0.016111929323829238,0.9998484605962898,-0.01999899212764683,0.9998409113757024,0.0038870628038175925,7.549220587432792e-06,-0.0010106734652368275,-1.436184891312158e-06,-0.08828874004971016,-0.00022701157175918554,-0.07022004561591985,-0.00020502719501210815
0.03,0.9996380478917453,0.029996586716937695,-0.024484248518077734,0.9996575359773119,-0.029996586716937695,0.9996380478917453,0.005512338198859962,1.9488085566621294e-05,-0.0017657748009942027,-4.5402314351837095e-06,-0.07993785766905473,-0.0004400556719591578,-0.08044043286393816,-0.0004295948137462467
0.04,0.9993508157479908,0.039991883069381326,-0.032980318153921384,0.9993886808489735,-0.039991883069381326,0.9993508157479908,0.007011564915459942,3.786510098269247e-05,-0.002609430618617922,-1.0237298330495314e-05,-0.08756030807340338,-0.0007289912412253805,-0.087808634992369,-0.0007192507288990831
0.05,0.9989781154100412,0.049984098041612884,-0.041574485149381724,0.9990411403387346,-0.049984098041612884,0.9989781154100412,0.00840961289223116,6.302492869336707e-05,-0.0035169809624622708,-1.9120056259691323e-05,-0.09325892300226787,-0.0010745836928821918,-0.09344399552918367,-0.0010660392957091618
0.06,0.9985190568933118,0.05997244130176768,-0.050249544834798626,0.9986142294728293,-0.05997244130176768,0.9985190568933118,0.009722896466969055,9.517257951752178e-05,-0.004474609078663279,-3.172897218813914e-05,-0.0977705673567773,-0.0014712932314913875,-0.09790676893155281,-0.0014636531863082784
0.07,0.9979728971263968,0.06995611597150014,-0.05899291261560913,0.9981073224459551,-0.06995611597150014,0.9979728971263968,0.010963203355891016,0.00013442531955831782,-0.005472392309597817,-4.854592088951908e-05,-0.10141803946049702,-0.0019137956202577291,-0.10152178061188179,-0.0019069016012090577
0.08,0.9973390036108825,0.07993431917742974,-0.06779485125046764,0.9975198449613341,-0.07993431917742974,0.9973390036108825,0.012139467926962105,0.00018084135045159933,-0.006502969867873219,-7.000488459329372e-05,-0.1044142072907926,-0.0023976632680256385,-0.10449557084510072,-0.002391404325745701
0.09,0.9966168311447625,0.08990624253606588,-0.07664752063532226,0.9968512684479623,-0.08990624253606588,0.9966168311447625,0.01325872190074362,0.00023443730319983036,-0.007560676455413667,-9.649918625003183e-05,-0.10690279316062112,-0.0029191055831521736,-0.10696812495006905,-0.0029133974126515937
0.1,0.9958059058839039,0.0998710725875254,-0.0855444165354414,0.9961011055239866,-0.0998710725875254,0.9958059058839039,0.014326656052083997,0.0002951996400826218,-0.008641025731085642,-0.00012838699625633722,-0.10898541009320056,-0.003474825458516773,-0.10903887872541129,-0.003469601243951173
0.11,0.9949058138867926,0.10982799118850399,-0.09448001510697038,0.9952689063359614,-0.10982799118850399,0.9949058138867926,0.015347976081533612,0.00036309244916887806,-0.009740384657277678,-0.0001659956954203673,-0.11073660199920005,-0.004061921174133767,-0.11078105496686486,-0.004057126504665832
0.12,0.9939161925724584,0.11977617587200413,-0.10344953555515576,0.994354255540254,-0.11977617587200413,0.9939161925724584,0.01632664031684837,0.00043806296779558274,-0.010855757771069641,-0.0002096254197390125,-0.11221268673488916,-0.004677814969894854,-0.11225013488934309,-0.004673404660417492
0.13,0.9928367241630767,0.12971480017942005,-0.1124487749689217,0.9933567697708598,-0.12971480017942005,0.9928367241630767,0.01726602521049836,0.0005200456077831817,-0.011984638391975463,-0.0002595519948182644,-0.1134572391539782,-0.0053201990839978515,-0.11348914297215251,-0.005316135039103846
0.14,0.9916671305303892,0.13964303396926303,-0.12147398947862545,0.9922760954853018,-0.13964303396926303,0.9916671305303892,0.01816904449063758,0.0006089649549125831,-0.013124902554149208,-0.00031602940141896963,-0.11450464523062476,-0.00598699388600208,-0.11453209104776564,-0.005983243593604848
0.15,0.9904071690659217,0.1495600437059033,-0.13052180635793836,0.9911119071106971,-0.1495600437059033,0.9904071690659217,0.019038237347964948,0.0007047380447753326,-0.014274731296587956,-0.00037929187253830595,-0.11538249241868659,-0.00667631470619438,-0.11540630494211826,-0.006672850136941172
0.16,0.9890566293170377,0.15946499273102832,-0.13958915749398518,0.9898639054323578,-0.15946499273102832,0.9890566293170377,0.019875835237043143,0.0008072761153200547,-0.015432552402522939,-0.00044955569554285717,-0.11611322784581701,-0.0073864450997135934,-0.11613404430899929,-0.007383241880531783
0.17,0.9876153302082553,0.16935704152000997,-0.14867322803199656,0.9885318161812697,-0.16935704152000997,0.9876153302082553,0.020683813488013403,0.0009164859730144137,-0.0165969958535043,-0.0005270207745325779,-0.11671533924936728,-0.008115814983557727,-0.11673365966068734,-0.008112851763202068
0.18,0.9860831177181173,0.17923534792500057,-0.15777141605709114,0.9871153887867491,-0.17923534792500057,0.9860831177181173,0.02146393186790943,0.001032271068631796,-0.01776685918751028,-0.0006118719952140116,-0.11720421524206459,-0.008862982535819804,-0.11722043727432828,-0.008860240488852537
0.19,0.9844598629162957,0.18909906740626495,-0.1668813004718959,0.9856143952677852,-0.18909906740626495,0.9844598629162957,0.022217766934369054,0.0011545323514894346,-0.01894108015834559,-0.0007042804252489739,-0.11759278440647358,-0.009626619048146896,-0.11760722814802979,-0.009624081481078343
0.2,0.9827454602895405,0.19894735325303353,-0.17600061507134274,0.9840286292419659,-0.19894735325303353,0.9827454602895405,0.022946738181690796,0.0012831689524254175,-0.020118714875639754,-0.0008044043761769497,-0.11789199832367725,-0.010405496129815131,-0.11790492417523,-0.010403148164130774
0.21,0.9809398263020569,0.20877935679495638,-0.1851272273787802,0.9823579050349187,-0.20877935679495638,0.9809398263020569,0.02365212941617617,0.001418078732861816,-0.021298920124819133,-0.0009123903478452765,-0.11811120224423854,-0.011198474807971516,-0.11812282408165027,-0.011196303122066195
0.22,0.9790428981482192,0.2185942276050972,-0.1942591211924749,0.9806020568763344,-0.2185942276050972,0.9790428981482192,0.024335106412622293,0.0015591587281151842,-0.02248093892052452,-0.00102837387233638,-0.11825842341656445,-0.012004496173977225,-0.11826891842092675,-0.012002488790873806
