t,H_x,H_z,history_x,history_z,delta_t
0.0,-0.0,-0.0,-0.026006747547971623,3.2805987433350135e-05,0.01
0.01,-0.0003830419464663761,-1.9563717348883133e-07,-0.0506016417453036,-7.19334221311164e-05,0.01
0.02,-0.001012032834906072,-1.438668442622328e-06,-0.0691871377981238,-0.00022054822633133374,0.01
0.03,-0.0017667847024288516,-4.606601700115505e-06,-0.07995504245314211,-0.00044794449098855486,0.01
0.04,-0.002611133683968914,-1.0397558262393425e-05,-0.08758660132295597,-0.0007353968993857431,0.01
0.05,-0.0035185167288879714,-1.931453968783037e-05,-0.0932600631130816,-0.0010786420608610266,0.01
0.06,-0.0044763349462305455,-3.1970399479613946e-05,-0.09778260296007796,-0.001474942888083499,0.01
0.07,-0.005474168788089532,-4.881339744950036e-05,-0.10142469941869936,-0.0019163403658985524,0.01
0.08,-0.0065048289346045325,-7.029720679758499e-05,-0.1044213010211163,-0.00239977456475351,0.01
0.09,-0.007562594808511857,-9.680888874457054e-05,-0.10690855974788138,-0.002920694778476132,0.01
0.1,-0.008643000129562161,-0.00012871110236710765,-0.1089905909039598,-0.00347608897575923,0.01
0.11,-0.009742406626591054,-0.00016633066825975516,-0.11074108835423224,-0.0040628875500638316,0.01
0.12,-0.010857821896646806,-0.00020996885336838425,-0.11221663654256386,-0.004678553382173595,0.01
0.13,-0.011986739357442332,-0.00025990173590322707,-0.11346070268870034,-0.0053207440172118575,0.01
0.14,-0.013127035950420814,-0.00031638373371262147,-0.1145076922448518,-0.005987380068262865,0.01
0.15,-0.014276893202339366,-0.00037964933726848427,-0.11538517246897262,-0.006676567122072669,0.01
0.16,-0.015434739399800263,-0.0004499150761540748,-0.11611558593575644,-0.007386585128114288,0.01
0.17,-0.016599204921054496,-0.0005273810398307701,-0.11671741265121971,-0.008115859778886233,0.01
0.18,-0.017769087652824655,-0.0006122322717317994,-0.11720603619154757,-0.00886294646867276,0.01
0.19,-0.018943325644885448,-0.0007046399692042253,-0.11759438052942783,-0.009626514075745104,0.01
0.2,-0.020120975263413214,-0.0008047625532467016,-0.11789339355665496,-0.01040533233807052,0.01
0.21,-0.021301193516018547,-0.0009127466159656355,-0.11811241738688572,-0.011198260734078681,0.01
0.22,-0.022483223611150925,-0.0010287277679282751,-0.11825947664352099,-0.012004239093060705,0.01
0.23,-0.02366638304888897,-0.0011528313978268498,-0.1183415053614787,-0.012822279442085985,0.01
0.24,-0.0248500537183805,-0.0012851733567699948,-0.1183645276318932,-0.013651458944782868,0.01
0.25,-0.02603367360152683,-0.0014258605767225071,-0.11833380282126993,-0.014490913729142282,0.01
0.26,-0.027216729774805902,-0.0015749916313528404,-0.11825394338029249,-0.015339833472904657,0.01
0.27,-0.02839875246913268,-0.0017326572461806007,-0.11812901120354602,-0.016197456628605292,0.01
0.28,-0.029579309998876823,-0.0018989407639249467,-0.1179625970446303,-0.01706306619576349,0.01
0.29,-0.03075800441002528,-0.0020739185700958695,-0.11775788642310614,-0.017935985962479584,0.01
0.3,-0.03193446772733895,-0.002257660483174538,-0.1175177146737858,-0.01881557715236358,0.01
0.31,-0.033108358703501,-0.0024502301131431414,-0.11724461320161383,-0.019701235422997843,0.01
0.32,-0.034279359991371224,-0.002651685191634495,-0.11694084856265174,-0.020592388170724285,0.01
0.33,-0.035447175674754035,-0.0028620778765576275,-0.11660845565422084,-0.02148849210347545,0.01
0.34,-0.03661152910445564,-0.0030814550337040047,-0.11624926603795682,-0.022389031049075803,0.01
0.35000000000000003,-0.03777216099551317,-0.0033098584975391437,-0.11586493221839911,-0.02329351397114976,0.01
