t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z
0.0,1.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.026006747547971623,3.2805987433350135e-05
0.01,0.9999605647119035,0.01003520885264169,-0.00793673504646053,0.9999620302069393,-0.01003520885264169,0.9999605647119035,0.00209847380618116,1.465495035768427e-06,-0.0003830419464663761,-1.9563717348883133e-07,-0.0506016417453036,-7.19334221311164e-05
0.02,0.9998409132806673,0.019998992165224265,-0.016111928305704425,0.9998484624771377,-0.019998992165224265,0.9998409132806673,0.0038870638595198403,7.549196470391095e-06,-0.001012032834906072,-1.438668442622328e-06,-0.0691871377981238,-0.00022054822633133374
0.03,0.9996379244554274,0.029996593959943547,-0.024481093670913716,0.9996578482375351,-0.029996593959943547,0.9996379244554274,0.005515500289029831,1.9923782107689192e-05,-0.0017667847024288516,-4.606601700115505e-06,-0.07995504245314211,-0.00044794449098855486
0.04,0.9993504594747841,0.03999189834399672,-0.032978280144098315,0.9993887678298695,-0.03999189834399672,0.9993504594747841,0.007013618199898403,3.830835508544794e-05,-0.002611133683968914,-1.0397558262393425e-05,-0.08758660132295597,-0.0007353968993857431
0.05,0.9989776573196939,0.04998411367789016,-0.04157215909772934,0.999041186278758,-0.04998411367789016,0.9989776573196939,0.008411954580160814,6.35289590641408e-05,-0.0035185167288879714,-1.931453968783037e-05,-0.0932600631130816,-0.0010786420608610266
0.06,0.9985185634486132,0.05997246054482449,-0.05024738373653137,0.9986142137219791,-0.05997246054482449,0.9985185634486132,0.009725076808293119,9.565027336588816e-05,-0.0044763349462305455,-3.1970399479613946e-05,-0.09778260296007796,-0.001474942888083499
0.07,0.997972374547699,0.06995613702340343,-0.05899076884126689,0.9981072684024692,-0.06995613702340343,0.997972374547699,0.010965368182136545,0.00013489385477016835,-0.005474168788089532,-4.881339744950036e-05,-0.10142469941869936,-0.0019163403658985524
0.08,0.9973384659318213,0.07993434176098586,-0.06779278060853726,0.9975197522921954,-0.07993434176098586,0.9973384659318213,0.012141561152448604,0.00018128636037406665,-0.0065048289346045325,-7.029720679758499e-05,-0.1044213010211163,-0.00239977456475351
0.09,0.996616283789139,0.08990626599172827,-0.0766455074447511,0.9968511453451758,-0.08990626599172827,0.996616283789139,0.01326075854697717,0.0002348615560368028,-0.007562594808511857,-9.680888874457054e-05,-0.10690855974788138,-0.002920694778476132
0.1,0.9958053537677232,0.09987109653195848,-0.08554246608360525,0.996100954998799,-0.09987109653195848,0.9958053537677232,0.014328630448353238,0.00029560123107585934,-0.008643000129562161,-0.00012871110236710765,-0.1089905909039598,-0.00347608897575923
0.11,0.9949052600145152,0.10982801519938394,-0.09447812392861309,0.9952687323554653,-0.10982801519938394,0.9949052600145152,0.015349891270770855,0.0003634723409501328,-0.009742406626591054,-0.00016633066825975516,-0.11074108835423224,-0.0040628875500638316
0.12,0.9939156392393117,0.11977619960848461,-0.10344770217051832,0.9943540608527842,-0.11977619960848461,0.9939156392393117,0.016328497437966286,0.0004384216134725172,-0.010857821896646806,-0.00020996885336838425,-0.11221663654256386,-0.004678553382173595
0.13,0.9928361729914099,0.1297148233225851,-0.11244699676947181,0.9933565569391046,-0.1297148233225851,0.9928361729914099,0.01726782655311329,0.0005203839476947136,-0.011986739357442332,-0.00025990173590322707,-0.11346070268870034,-0.0053207440172118575
0.14,0.991666582732566,0.13964305623736192,-0.12147226403616238,0.9922758666240237,-0.13964305623736192,0.991666582732566,0.018170792201199548,0.0006092838914576459,-0.013127035950420814,-0.00031638373371262147,-0.1145076922448518,-0.005987380068262865
0.15,0.990406625536422,0.14956006484202092,-0.13052013114708616,0.9911116640831555,-0.14956006484202092,0.990406625536422,0.019039933694934758,0.0007050385467335385,-0.014276893202339366,-0.00037964933726848427,-0.11538517246897262,-0.006676567122072669
