t,E_rel,E_abs
0.0,6.894341957538589e-16,6.894341957538586e-16
0.005,1.1775037774828584e-10,1.1775071045875508e-10
0.01,1.1813192581769857e-10,1.181332066294379e-10
0.015,9.004808516743564e-08,9.005021313973072e-08
0.02,1.1636076079261498e-07,1.1636552030109915e-07
0.025,1.3407178856956145e-07,1.3408015815277283e-07
0.03,1.4368796604885286e-07,1.4370061161452062e-07
0.035,1.50643952272357e-07,1.5066164964290124e-07
0.04,1.555143494676886e-07,1.55537783998101e-07
0.045,1.5913296346629839e-07,1.5916280256416712e-07
0.05,1.6183630574667295e-07,1.618731747456133e-07
0.055,1.6388465542987476e-07,1.6392914968058028e-07
0.06,1.6543860732899324e-07,1.654912911943221e-07
0.065,1.6661346675067314e-07,1.6667487674997205e-07
0.07,1.6749096562708187e-07,1.6756161194733961e-07
0.075,1.6813169186141366e-07,1.682120601814927e-07
0.08,1.685812879467618e-07,1.6867184096231537e-07
0.085,1.6887489570730745e-07,1.6897607457325048e-07
0.09,1.690399948620064e-07,1.6915222049810554e-07
0.095,1.6909839511840547e-07,1.692220694162707e-07
0.1,1.6906761915380682e-07,1.6920312608451818e-07
0.105,1.6896190737708865e-07,1.6910961401835098e-07
0.11,1.687929418307133e-07,1.6895319931287563e-07
0.115,1.6857039237863042e-07,1.687435367641315e-07
0.12,1.6830232824987109e-07,1.6848868135264954e-07
0.125,1.6799552521322468e-07,1.681953953553845e-07
0.13,1.6765571413992206e-07,1.6786939686332765e-07
0.135,1.6728776902753634e-07,1.675155477573248e-07
0.14,1.6689585548638018e-07,1.6713800214993926e-07
0.145,1.6648355093886072e-07,1.6674032654625347e-07
0.15,1.6605394553893953e-07,1.6632560073501573e-07
0.155,1.6560971148837024e-07,1.658964870589362e-07
0.16,1.6515317388431962e-07,1.6545530124295833e-07
0.165,1.6468636047125674e-07,1.6500406211442785e-07
0.17,1.6421104591660878e-07,1.6454453585486028e-07
0.175,1.637287869723724e-07,1.640782711362292e-07
0.18,1.6324095172965388e-07,1.6360662835133028e-07
0.185,1.627487482699254e-07,1.6313080825169187e-07
0.19,1.6225324255083698e-07,1.6265186980681134e-07
0.195,1.6175537951055317e-07,1.6217075129750944e-07
0.2,1.6125599495455777e-07,1.6168828217737357e-07
0.205,1.607558340885093e-07,1.6120520160373124e-07
0.21,1.6025555681852574e-07,1.6072216370759527e-07
0.215,1.597557526730897e-07,1.6023975251583365e-07
0.22,1.592569457498522e-07,1.5975848687543762e-07
0.225,1.5875960452234306e-07,1.5927883025552226e-07
0.23,1.582641477732527e-07,1.5880119666848347e-07
0.235,1.577709467500918e-07,1.5832595280344772e-07
0.24,1.572803371521348e-07,1.578534300274059e-07
0.245,1.567926156812661e-07,1.573839209002277e-07
0.25,1.5630804857617994e-07,1.5691768771641944e-07
0.255,1.558268750508944e-07,1.564549659365958e-07
0.26,1.553493072085827e-07,1.5599596408178078e-07
0.265,1.5487553443363012e-07,1.5554086812465437e-07
0.27,1.5440572568136325e-07,1.5508984377226242e-07
0.275,1.5394003213165708e-07,1.5464303911579475e-07
0.28,1.5347858733485847e-07,1.5420058476278125e-07
0.285,1.5302151094864477e-07,1.537625975775055e-07
0.29,1.5256890713938057e-07,1.5332917906224535e-07
0.295,1.521208706000351e-07,1.5290042139260162e-07
0.3,1.5167748146760437e-07,1.5247640229883584e-07
0.305,1.5123881311126535e-07,1.520571928831363e-07
0.31,1.5080492776349957e-07,1.5164285321892998e-07
0.315,1.5037587936693375e-07,1.5123343520321253e-07
0.32,1.499517146605915e-07,1.5082898364041625e-07
0.325,1.495324743030259e-07,1.504295373643085e-07
0.33,1.4911819207229776e-07,1.500351284258962e-07
0.335,1.4870889541787293e-07,1.4964578264103559e-07
0.34,1.483046076372782e-07,1.492615217737674e-07
0.345,1.4790534694359238e-07,1.4888236259193843e-07
0.35,1.475111279200313e-07,1.4850831832521143e-07
0.355,1.4712195913616218e-07,1.4813939625952164e-07
0.36,1.4673784814461444e-07,1.4777560276201297e-07
0.365,1.463587982349575e-07,1.4741694000825844e-07
0.37,1.4598480919631488e-07,1.4706340674480943e-07
0.375,1.4561587852117363e-07,1.467149994970112e-07
0.38,1.4525200187946524e-07,1.463717130426467e-07
0.385,1.448931715745641e-07,1.4603353885211087e-07
0.39,1.4453937858986526e-07,1.4570046714654402e-07
0.395,1.4419061229932386e-07,1.4537248660280558e-07
0.4,1.438468589717717e-07,1.450495828418992e-07
0.405,1.4350810496505137e-07,1.4473174164575946e-07
0.41,1.4317433415536009e-07,1.4441894636233966e-07
0.415,1.4284553003901846e-07,1.4411118002200388e-07
0.42,1.4252167402735643e-07,1.4380842361480906e-07
0.425,1.4220274679418825e-07,1.4351065744677234e-07
0.43,1.4188872799859406e-07,1.4321786085762533e-07
0.435,1.415795968551398e-07,1.429300127938467e-07
0.44,1.4127533115173656e-07,1.426470908148847e-07
0.445,1.4097590843031493e-07,1.4236907228259464e-07
0.45,1.4068130536805586e-07,1.4209593373439382e-07
0.455,1.4039149751633742e-07,1.4182765061718721e-07
0.46,1.40106461308065e-07,1.4156419931303727e-07
0.465,1.3982617075542234e-07,1.4130555380122189e-07
0.47,1.3955060098884276e-07,1.4105168923165662e-07
0.475,1.392797267988848e-07,1.408025804503575e-07
0.48,1.3901352137136194e-07,1.405582007187992e-07
0.485,1.3875195808675386e-07,1.4031852353082905e-07
0.49,1.3849501127198107e-07,1.4008352337188305e-07
0.495,1.3824265290503502e-07,1.398531723847572e-07
0.5,1.3799485635236022e-07,1.396274441478025e-07
0.505,1.3775159423276694e-07,1.3940631151317463e-07
0.51,1.3751283881219736e-07,1.3918974700451008e-07
0.515,1.3727856295504486e-07,1.3897772377850082e-07
0.52,1.370487383045983e-07,1.3877021378186175e-07
0.525,1.368233377345736e-07,1.3856719023184629e-07
0.53,1.3660233233174562e-07,1.3836862455988248e-07
0.535,1.3638569479186115e-07,1.3817448984928656e-07
0.54,1.361733971854757e-07,1.3798475857181063e-07
0.545,1.3596541064727539e-07,1.3779940227115846e-07
0.55,1.3576170793767491e-07,1.3761839415772842e-07
0.555,1.3556226058061443e-07,1.3744170620726355e-07
0.56,1.353670401193612e-07,1.3726931043217558e-07
0.5650000000000001,1.3517601940021148e-07,1.3710118018260328e-07
0.5700000000000001,1.3498916883751523e-07,1.3693728635784922e-07
0.5750000000000001,1.3480646200197478e-07,1.36777603073184e-07
0.58,1.346278699689615e-07,1.3662210192657084e-07
0.585,1.344533648786675e-07,1.3647075560899918e-07
0.59,1.3428291870975422e-07,1.3632353665967692e-07
0.595,1.341165035800369e-07,1.3618041777036942e-07
0.6,1.3395409228767674e-07,1.3604137233436003e-07
0.605,1.3379565573938709e-07,1.3590637183396166e-07
0.61,1.3364116773721038e-07,1.357753907011438e-07
0.615,1.3349060002694819e-07,1.3564840128798773e-07
0.62,1.3334392471545217e-07,1.3552537632079756e-07
0.625,1.3320111447457204e-07,1.3540628910706285e-07
0.63,1.3306214250801618e-07,1.352911135016216e-07
0.635,1.3292698078187477e-07,1.3517982210703832e-07
0.64,1.327956025127877e-07,1.3507238880255147e-07
0.645,1.3266798048072912e-07,1.349687870281799e-07
0.65,1.3254408744552932e-07,1.3486899020748647e-07
0.655,1.3242389663019179e-07,1.3477297223882831e-07
0.66,1.3230738089957228e-07,1.3468070665915723e-07
0.665,1.3219451450414746e-07,1.3459216841846685e-07
0.67,1.3208526971844403e-07,1.3450733045738396e-07
0.675,1.3197962061934784e-07,1.3442616755297806e-07
0.68,1.3187754025128967e-07,1.3434865343207838e-07
0.685,1.3177900251496746e-07,1.3427476269419026e-07
0.6900000000000001,1.31683980978641e-07,1.3420446960036926e-07
0.6950000000000001,1.3159245064097852e-07,1.3413774986931343e-07
0.7000000000000001,1.315043838888378e-07,1.3407457655708082e-07
0.705,1.31419755606539e-07,1.3401492526412027e-07
