t,x,z,xdot,zdot
0.0,0.0,0.0,-1.0019758690620386,0.0
0.005,-0.005009879345310201,-3.131705036174767e-05,-1.0019758690620386,-0.01245845542290484
0.01,-0.010019758690620438,-0.000123910151152698,-1.0019758690620386,-0.02451248891297697
0.015,-0.015029638035930631,-0.0002757651337493617,-1.0019758690620386,-0.03617539398313137
0.02,-0.020039517381240823,-0.000484984515465576,-1.0019758690620386,-0.04745969401909673
0.025,-0.025049396726551015,-0.0007497049751630792,-1.0019758690620386,-0.05837768694038558
0.03,-0.030059276071861207,-0.0010681252523459866,-1.0019758690620386,-0.06894126106627077
0.035,-0.0350691554171714,-0.0014385021205016292,-1.0019758690620386,-0.0791619216917359
0.04,-0.04007903476248159,-0.0018591489773980964,-1.0019758690620386,-0.0890508003915116
0.045,-0.04508891410779178,-0.0023284339637599074,-1.0019758690620386,-0.09861866743681602
0.05,-0.050098793453101975,-0.0028447781942771,-1.0019758690620386,-0.10787594347069493
0.055,-0.05510867279841217,-0.0034066540371081354,-1.0019758690620386,-0.11683271086330248
0.06,-0.06011855214372236,-0.004012583450236851,-1.0019758690620386,-0.1254987246919453
0.065,-0.06512843148903255,-0.004661136371676592,-1.0019758690620386,-0.13388342336573542
0.07,-0.07013831083434274,-0.005350929161950468,-1.0019758690620386,-0.14199593890522022
0.075,-0.07514819017965294,-0.006080623097128811,-1.0019758690620386,-0.14984510688833552
0.08,-0.08015806952496313,-0.006848922910785841,-1.0019758690620386,-0.1574394760734915
0.085,-0.08516794887027332,-0.007654575383287107,-1.0019758690620386,-0.16478731771027555
0.09,-0.09017782821558351,-0.008496367976871337,-1.0019758690620386,-0.17189663454791201
0.095,-0.0951877075608937,-0.009373127515040098,-1.0019758690620386,-0.17877516955129058
0.1,-0.1001975869062039,-0.01028371890481696,-1.0019758690620386,-0.18543041433405566
0.105,-0.10520746625151409,-0.01122704390048454,-1.0019758690620386,-0.19186961731794203
0.11,-0.11021734559682428,-0.012202039907452968,-1.0019758690620386,-0.19809979162724278
0.115,-0.11522722494213447,-0.013207678824957048,-1.0019758690620386,-0.20412772272700824
0.12,-0.12023710428744466,-0.014242965926321637,-1.0019758690620386,-0.20995997581329431
0.125,-0.12524698363275485,-0.015306938775575742,-1.0019758690620386,-0.2156029029635096
0.13,-0.13025686297806505,-0.016398666179235348,-1.0019758690620386,-0.22106265005464856
0.135,-0.13526674232337524,-0.01751724717211336,-1.0019758690620386,-0.22634516345694605
0.14,-0.14027662166868543,-0.018661810036052082,-1.0019758690620386,-0.23145619651024288
0.145,-0.14528650101399562,-0.019831511350509454,-1.0019758690620386,-0.2364013157901166
0.15,-0.15029638035930581,-0.02102553507396509,-1.0019758690620386,-0.2411859071706018
0.155,-0.155306259704616,-0.022243091655145583,-1.0019758690620386,-0.24581518169010289
0.16,-0.1603161390499262,-0.023483417173101134,-1.0019758690620386,-0.2502941812268886
0.165,-0.1653260183952364,-0.024745772505196884,-1.0019758690620386,-0.254627783990349
0.17,-0.17033589774054658,-0.026029442522112853,-1.0019758690620386,-0.258820709833996
0.17500000000000002,-0.17534577708585677,-0.027333735308975673,-1.0019758690620386,-0.2628775253959938
0.18,-0.18035565643116697,-0.028657981411773868,-1.0019758690620386,-0.2668026490728181
0.185,-0.18536553577647716,-0.030001533108235907,-1.0019758690620386,-0.270600355831461
0.19,-0.19037541512178735,-0.031363763702376944,-1.0019758690620386,-0.2742747818654226
0.195,-0.19538529446709754,-0.032744066841945876,-1.0019758690620386,-0.27782992909956
0.2,-0.20039517381240773,-0.03414185585802939,-1.0019758690620386,-0.2812696695487012
0.20500000000000002,-0.20540505315771793,-0.03555656312609367,-1.0019758690620386,-0.2845977495347693
0.21,-0.21041493250302812,-0.03698763944776795,-1.0019758690620386,-0.28781779376701144
0.215,-0.2154248118483383,-0.038434553452696474,-1.0019758690620386,-0.29093330928977557
0.22,-0.2204346911936485,-0.03989679101980752,-1.0019758690620386,-0.29394768930213505
0.225,-0.2254445705389587,-0.04137385471736908,-1.0019758690620386,-0.2968642168535211
0.23,-0.23045444988426889,-0.04286526326122146,-1.0019758690620386,-0.2996860684193878
0.23500000000000001,-0.23546432922957908,-0.04437055099059657,-1.0019758690620386,-0.30241631736080443
0.24,-0.24047420857488927,-0.045889267360953195,-1.0019758690620386,-0.3050579372717431
0.245,-0.24548408792019946,-0.04742097645327576,-1.0019758690620386,-0.30761380521770654
0.25,-0.25049396726550965,-0.04896525649930217,-1.0019758690620386,-0.3100867048692246
0.255,-0.2555038466108199,-0.05052169942216366,-1.0019758690620386,-0.31247932953363117
0.26,-0.2605137259561301,-0.052089910391936355,-1.0019758690620386,-0.3147942850884238
0.265,-0.2655236053014403,-0.053669507395620424,-1.0019758690620386,-0.31703409281940126
