z,u,beta,history,analytical
-7.0,-0.024300047729421244,1.04,True,False
-6.976588628762542,-0.02430004744212355,1.04,True,False
-6.953177257525083,-0.024300047136381828,1.04,True,False
-6.929765886287625,-0.024300046811011996,1.04,True,False
-6.906354515050167,-0.024300046464753967,1.04,True,False
-6.882943143812709,-0.02430004609626675,1.04,True,False
-6.8595317725752505,-0.024300045704123273,1.04,True,False
-6.8361204013377925,-0.02430004528680484,1.04,True,False
-6.812709030100335,-0.02430004484269526,1.04,True,False
-6.789297658862877,-0.024300044370074592,1.04,True,False
-6.765886287625418,-0.024300043867112466,1.04,True,False
-6.74247491638796,-0.02430004333186101,1.04,True,False
-6.719063545150502,-0.024300042762247308,1.04,True,False
-6.695652173913044,-0.024300042156065363,1.04,True,False
-6.672240802675585,-0.024300041510967547,1.04,True,False
-6.648829431438127,-0.02430004082445553,1.04,True,False
-6.625418060200669,-0.024300040093870594,1.04,True,False
-6.602006688963211,-0.024300039316383325,1.04,True,False
-6.578595317725752,-0.024300038488982673,1.04,True,False
-6.555183946488294,-0.024300037608464286,1.04,True,False
-6.531772575250836,-0.024300036671418092,1.04,True,False
-6.508361204013378,-0.024300035674215098,1.04,True,False
-6.48494983277592,-0.02430003461299334,1.04,True,False
-6.461538461538462,-0.024300033483642926,1.04,True,False
-6.438127090301004,-0.0243000322817901,1.04,True,False
-6.414715719063545,-0.024300031002780335,1.04,True,False
-6.391304347826087,-0.024300029641660285,1.04,True,False
-6.367892976588629,-0.0243000281931586,1.04,True,False
-6.34448160535117,-0.024300026651665533,1.04,True,False
-6.321070234113712,-0.02430002501121119,1.04,True,False
-6.297658862876254,-0.024300023265442425,1.04,True,False
-6.274247491638796,-0.024300021407598224,1.04,True,False
-6.250836120401338,-0.024300019430483537,1.04,True,False
-6.2274247491638794,-0.02430001732644139,1.04,True,False
-6.2040133779264215,-0.02430001508732326,1.04,True,False
-6.1806020066889635,-0.024300012704457495,1.04,True,False
-6.157190635451505,-0.024300010168615733,1.04,True,False
-6.133779264214047,-0.024300007469977174,1.04,True,False
-6.110367892976589,-0.024300004598090532,1.04,True,False
-6.086956521739131,-0.024300001541833573,1.04,True,False
-6.063545150501672,-0.02429999828937003,1.04,True,False
-6.040133779264214,-0.02429999482810377,1.04,True,False
-6.016722408026756,-0.024299991144630013,1.04,True,False
-5.993311036789297,-0.0242999872246834,1.04,True,False
-5.969899665551839,-0.02429998305308277,1.04,True,False
-5.946488294314381,-0.024299978613672363,1.04,True,False
-5.923076923076923,-0.024299973889259235,1.04,True,False
-5.899665551839465,-0.024299968861546686,1.04,True,False
-5.8762541806020065,-0.024299963511063408,1.04,True,False
-5.852842809364549,-0.024299957817088054,1.04,True,False
-5.829431438127091,-0.024299951757569008,1.04,True,False
