force,A,delta,phi,offset,R^2,St,method
inertial_force,0.11188275286152034,-0.02026179390705573,4.871870355744226,0.00037924136429262736,0.823239857724545,0.01,curve_fit
stokes_drag,0.06739237472230718,-0.020798333560619827,1.3174502609190732,-0.0005960212256744854,0.8177889354565964,0.01,curve_fit
history_force,0.04844278661441034,-0.01914998036629853,2.08329106559213,0.0001969503057487268,0.8216809168613931,0.01,curve_fit
xdot,0.9310446853756833,-0.02066280456919163,0.009714390450495713,0.05328257419963347,0.8126049238450715,0.01,curve_fit
inertial_force,0.11329941345878067,-0.027839412949340968,4.918326913771964,0.0005179568768837908,0.867253110069243,0.014,curve_fit
stokes_drag,0.06238505172505255,-0.028514539268944074,1.3038031504048548,-0.0007494735357320551,0.8615961357569476,0.014,curve_fit
history_force,0.05302902616035146,-0.026745895323574784,2.0688398493839406,0.0002051314622988258,0.8656665223732614,0.014,curve_fit
xdot,0.9331363355546182,-0.028605279671163216,0.0,0.04797324378288133,0.85343518840081,0.014,curve_fit
inertial_force,0.11548700766117657,-0.03690934603240056,4.99303155761444,0.0006552617330785729,0.9072716780671619,0.019,curve_fit
stokes_drag,0.057896620132458824,-0.03775877134529795,1.3141367954542735,-0.0008959653533797661,0.901886974805806,0.019,curve_fit
history_force,0.057292592590479,-0.03583947399690093,2.083924300572066,0.00020769474551253505,0.9055888560103194,0.019,curve_fit
xdot,0.9361430695914619,-0.03834628036871149,0.00445686950709856,0.04250849507348902,0.8900412171426516,0.019,curve_fit
inertial_force,0.1175111409334975,-0.04384965345888158,5.036622560007038,0.0007390806232771624,0.9304206617159018,0.023,curve_fit
stokes_drag,0.05519736148973134,-0.044839648233155775,1.3186848855036941,-0.0009836785149567133,0.9255261553336321,0.023,curve_fit
history_force,0.06006406782225849,-0.04279857898855445,2.08833014657078,0.00020727970723993962,0.9286620439900374,0.023,curve_fit
xdot,0.9387752051996824,-0.04600340729030956,0.0,0.03887418534069619,0.9111895132246892,0.023,curve_fit
inertial_force,0.11973454070471322,-0.0505191517696455,5.085830310698125,0.0008035075818512429,0.947730150111663,0.027,curve_fit
stokes_drag,0.053035693485898934,-0.05164922748992901,1.3315403438949116,-0.0010506544770004205,0.9434729154165301,0.027,curve_fit
history_force,0.06249606366181721,-0.04948602005212625,2.1036603171240613,0.00020619174536127573,0.9459143906962846,0.027,curve_fit
xdot,0.9415494723457007,-0.053547350705711684,0.002001898144072367,0.0357630990140254,0.9272209799952363,0.027,curve_fit
inertial_force,0.12212247865402956,-0.0569301383042342,5.12548252195543,0.000851948276616172,0.9605856165007222,0.031,curve_fit
stokes_drag,0.051268204235006574,-0.0581981523158449,1.341222512718553,-0.0011011032158920913,0.9570471660115417,0.031,curve_fit
history_force,0.06470078756928949,-0.05591329278564763,2.1134792416569814,0.00020508659160126962,0.9587347067967538,0.031,curve_fit
xdot,0.9444234920033225,-0.06098252685680212,0.0,0.033082015933390836,0.9394971073305363,0.031,curve_fit
inertial_force,0.12529362047823545,-0.0646019515732766,5.175505801774712,0.0008945580513789998,0.971957248336853,0.036,curve_fit
stokes_drag,0.04946865471959164,-0.0660371493725541,1.3565907053855895,-0.0011460817586659965,0.9693583829332326,0.036,curve_fit
history_force,0.06723544903974128,-0.06360209913255431,2.1306240927151006,0.00020413088329691178,0.9700897138415497,0.036,curve_fit
xdot,0.948103367315709,-0.07012765064703382,0.0005108905406205899,0.030224666511073736,0.9510193745580684,0.036,curve_fit
inertial_force,0.1279485992739711,-0.07048396573906152,5.210420772726161,0.0009173203695571789,0.978229431796001,0.04,curve_fit
stokes_drag,0.04827685504175701,-0.07204745515426014,1.3677326752215861,-0.0011708602549837682,0.9763734435196711,0.04,curve_fit
history_force,0.06913319881254869,-0.06949430709736906,2.142057282013428,0.00020384073531141088,0.9763645231878793,0.04,curve_fit
xdot,0.9510839438437646,-0.0773269325127099,0.0,0.02826408386326924,0.9580038295723763,0.04,curve_fit
inertial_force,0.13490237390174428,-0.08429472638742287,5.289197387951836,0.0009431931158702629,0.9865475037226549,0.05,curve_fit
stokes_drag,0.045965312202424294,-0.0861541955766423,1.3847580001840425,-0.0012026393668570006,0.9863772779363216,0.05,curve_fit
