t,inertial,stokes_drag,history,velocity,R^2
0.0,0.03454444181228793,0.004399693884269314,-0.01526336800947162,0.999116256540822,0.9229422287430148
0.005,0.03722426900616913,0.003537156825261969,-0.016729073137689333,0.998577491797586,0.9229422287430148
0.01,0.03985017644537127,0.0026651097471803967,-0.01816901139385814,0.9966382682686419,0.9229422287430148
0.015,0.04241808805562373,0.0017848922907536158,-0.019580945810174614,0.9933025061823788,0.9229422287430148
0.02,0.044924014833042314,0.0008978572211131696,-0.02096268099196446,0.9885762735768486,0.9229422287430148
0.025,0.047364061038967904,5.368349019707619e-06,-0.02231206652987725,0.9824677755233706,0.9229422287430148
0.03,0.04973443025458236,-0.0008912015657608239,-0.023627000345170342,0.974987340066676,0.9229422287430148
0.035,0.052031431285897975,-0.0017904729257099971,-0.02490543196288209,0.9661474009054101,0.9229422287430148
0.04,0.05425148390993051,-0.0026910614181889798,-0.026145365707795534,0.9559624768418626,0.9229422287430148
0.045,0.05639112445312011,-0.0035915801461869432,-0.027344863818217,0.9444491480347013,0.9229422287430148
0.05,0.0584470111933063,-0.004490641763904532,-0.028502049472711104,0.9316260290934337,0.9229422287430148
0.055,0.06041592957684138,-0.005386860613886903,-0.029615109725070265,0.9175137390580952,0.9229422287430148
0.06,0.06229479724269274,-0.0062788548624114655,-0.030682298342927447,0.9021348683125066,0.9229422287430148
0.065,0.06408066884568904,-0.007165248629841324,-0.031701938545572225,0.8855139424840852,0.9229422287430148
0.07,0.06577074067136891,-0.008044674112661937,-0.03267242563668197,0.8676773833877722,0.9229422287430148
0.075,0.06736235503519879,-0.008915773693925525,-0.033592229527833806,0.8486534670762409,0.9229422287430148
0.08,0.06885300445926446,-0.009777202038848817,-0.034459897148833754,0.8284722790628873,0.9229422287430148
0.085,0.07024033561987862,-0.010627628172331087,-0.03527405474107052,0.8071656667884084,0.9229422287430148
0.09,0.0715221530598884,-0.011465737535181859,-0.036033410030274424,0.7847671894060553,0.9229422287430148
0.095,0.07269642265983421,-0.0122902340158834,-0.03673675427525049,0.7613120649646488,0.9229422287430148
0.1,0.07376127486247834,-0.013099841954749445,-0.037382964189341915,0.7368371150723796,0.9229422287430148
0.105,0.07471500764559247,-0.013893308117378765,-0.037971003731571175,0.711380707128358,0.9229422287430148
0.11,0.07555608923828538,-0.014669403634352455,-0.03849992576460837,0.6849826942124486,0.9229422287430148
0.115,0.07628316057654275,-0.015426925904174374,-0.03896887357691865,0.6576843527274769,0.9229422287430148
0.12,0.07689503749404646,-0.01616470045650564,-0.03937708226664567,0.6295283178914035,0.9229422287430148
0.125,0.07739071264475184,-0.016881582772809118,-0.039723879985002694,0.6005585171801671,0.9229422287430148
0.13,0.07776935715410924,-0.0175764600615803,-0.04000868903715524,0.5708201018250998,0.9229422287430148
0.135,0.07803032199623446,-0.01824825298541359,-0.040231026838799755,0.5403593764716195,0.9229422287430148
0.14,0.07817313909475111,-0.01889591733722153,-0.04039050672686079,0.5092237271088295,0.9229422287430148
0.145,0.07819752214545515,-0.019518445663005448,-0.04048683862295596,0.4774615473821178,0.9229422287430148
0.15,0.07810336715937746,-0.020114868828657092,-0.04051982954850204,0.44512216340324257,0.9229422287430148
0.155,0.07789075272525084,-0.020684257528352883,-0.040489383990563635,0.41225575717478713,0.9229422287430148
0.16,0.07755993999082023,-0.021225723732194765,-0.04039550411777575,0.37891328874777536,0.9229422287430148
0.165,0.07711137236286641,-0.02173842207084385,-0.04023828984590161,0.34514641723309786,0.9229422287430148
0.17,0.07654567492624846,-0.022221551154986606,-0.040017938752818595,0.311007420789251,0.9229422287430148
0.175,0.0758636535827023,-0.02267435482757584,-0.03973474584295745,0.2765491157102232,0.9229422287430148
0.18,0.07506629391056412,-0.02309612334689087,-0.0393891031614509,0.24182477473866384,0.9229422287430148
0.185,0.07415475974702039,-0.023486194498565045,-0.0389814992584808,0.20688804473075037,0.9229422287430148
0.19,0.07313039149491316,-0.023843954634840177,-0.03851251850454372,0.17179286379987047,0.9229422287430148
0.195,0.07199470415655279,-0.02416883963941695,-0.03798284025758359,0.1365933780671255,0.9229422287430148
0.2,0.07074938509741759,-0.024460335816385882,-0.037393237883172246,0.10134385814700601,0.9229422287430148
0.205,0.0693962915430318,-0.02471798070183777,-0.03674457762914227,0.06609861549713382,0.9229422287430148
0.21,0.06793744781273152,-0.024941363796873037,-0.0360378173563051,0.030911918760911032,0.9229422287430148
0.215,0.06637504229442887,-0.025130127220849282,-0.035274005127106704,-0.004162089768158808,0.9229422287430148
0.22,0.06471142416489498,-0.02528396628382804,-0.03445427765429747,-0.039069477431813854,0.9229422287430148
0.225,0.06294909986047083,-0.025402629977306933,-0.03357985861190737,-0.07375660411402099,0.9229422287430148
0.23,0.06109072930349981,-0.025485921382448422,-0.03265205681103018,-0.10817020464225366,0.9229422287430148
0.235,0.05913912189016518,-0.025533697995142875,-0.03167226424313501,-0.1422574705563999,0.9229422287430148
0.24,0.05709723224577763,-0.02554587196737201,-0.030641953993825723,-0.17596613111987142,0.9229422287430148
0.245,0.05496815575391908,-0.025522410264467322,-0.029562678030169636,-0.20924453344872973,0.9229422287430148
0.25,0.05275512386621056,-0.025463334737987363,-0.028436064864919005,-0.24204172163592286,0.9229422287430148
0.255,0.05046149919980502,-0.025368722114067946,-0.027263817101136387,-0.27430751474952114,0.9229422287430148
0.26,0.04809077043003496,-0.02523870389722902,-0.02604770886092081,-0.305992583585653,0.9229422287430148
0.265,0.04564654698597748,-0.02507346618975284,-0.02478958310211903,-0.33704852605867697,0.9229422287430148
0.27,0.043132553556991964,-0.02487324942687769,-0.02349134882707426,-0.36742794111346794,0.9229422287430148
0.275,0.04055262441859374,-0.024638348028181118,-0.022154978187639885,-0.3970845010470392,0.9229422287430148
0.28,0.037910697586297434,-0.02436910996565659,-0.020782503490842093,-0.42597302212909277,0.9229422287430148
0.285,0.03521080880634968,-0.024065936249115145,-0.019376014109739746,-0.4540495334139785,0.9229422287430148
0.29,0.03245708539251423,-0.02372928032967217,-0.01793765330417271,-0.4812713436392461,0.9229422287430148
0.295,0.02965373991831479,-0.023359647422204508,-0.016469614956231567,-0.5075971061091358,0.9229422287430148
0.3,0.02680506377438161,-0.02295759374779024,-0.014974140225423337,-0.5329868814643455,0.9229422287430148
0.305,0.023915420600748544,-0.02252372569726588,-0.013453514128628583,-0.5574021982428798,0.9229422287430148
0.31,0.02098923960414475,-0.022058698917156904,-0.0119100620500641,-0.5808061111402387,0.9229422287430148
0.315,0.018031008770522012,-0.021563217319360294,-0.010346146186584514,-0.6031632568806848,0.9229422287430148
0.32,0.015045267983212266,-0.021038032016073398,-0.008764161933752297,-0.6244399076152016,0.9229422287430148
0.325,0.012036602057260454,-0.02048394018157913,-0.007166534218200385,-0.6446040217655957,0.9229422287430148
0.33,0.009009633700627696,-0.019901783842613294,-0.005555713781906126,-0.663625292238087,0.9229422287430148
0.335,0.0059690164130639205,-0.019292448599148183,-0.003934173424065681,-0.6814751919339379,0.9229422287430148
0.34,0.0029194273335509608,-0.01865686227753425,-0.0023044042063271215,-0.6981270164888762,0.9229422287430148
0.345,-0.0001344399526820555,-0.01799599351804964,-0.0006689116272093355,-0.7135559241772835,0.9229422287430148
0.35,-0.0031878826365200064,-0.01731085029900564,0.0009697882284249143,-0.7277389729216461,0.9229422287430148
0.355,-0.006236195925581839,-0.01660247839965759,0.0026091725589225344,-0.7406551543521798,0.9229422287430148
0.36,-0.009274680291962604,-0.01587195980426287,0.004246715728475871,-0.752285424866191,0.9229422287430148
0.365,-0.012298648715924052,-0.015120411049723252,0.005879893156861542,-0.7626127336412953,0.9229422287430148
0.37,-0.015303433914375927,-0.01434898151933364,0.007506185210296353,-0.7716220475614259,0.9229422287430148
0.375,-0.018284395543007127,-0.013558851685242818,0.00912308108741834,-0.7793003730193138,0.9229422287430148
0.38,-0.021236927360945432,-0.012751231302315723,0.010728082694396266,-0.785636774563923,0.9229422287430148
0.385,-0.02415646434689106,-0.01192735755615914,0.012318708503191481,-0.7906223903662499,0.9229422287430148
0.39,-0.027038489755737343,-0.011088493168144059,0.013892497387017692,-0.7942504444818028,0.9229422287430148
0.395,-0.02987854210476317,-0.010235924460329542,0.01544701242706721,-0.7965162558929928,0.9229422287430148
0.4,-0.03267222207859879,-0.009370959383251817,0.0169798446846204,-0.7974172443196754,0.9229422287430148
0.405,-0.03541519934228503,-0.008494925509600626,0.01848861693270393,-0.7969529327910567,0.9229422287430148
