shear_difference,St,beta
0.00864,0.01,0.905
0.02292,0.015,0.905
0.04117,0.02,0.905
0.06179,0.025,0.905
0.08403,0.03,0.905
0.10751,0.035,0.905
0.13203,0.04,0.905
0.15745,0.045,0.905
0.18368,0.05,0.905
0.47971,0.1,0.905
1.20362,0.2,0.905
2.04815,0.3,0.905
2.97054,0.4,0.905
3.9428,0.5,0.905
4.94582,0.6,0.905
5.96585,0.7,0.905
6.99267,0.8,0.905
8.01857,0.9,0.905
9.0377,1.0,0.905
0.05509,0.01,0.75
0.05171,0.01,0.76
0.04837,0.01,0.77
0.04508,0.01,0.78
0.04182,0.01,0.79
0.0386,0.01,0.8
0.03542,0.01,0.81
0.03229,0.01,0.82
0.0292,0.01,0.83
0.02616,0.01,0.84
0.02319,0.01,0.85
0.02029,0.01,0.86
0.01747,0.01,0.87
0.01477,0.01,0.88
0.01219,0.01,0.89
0.00978,0.01,0.9
0.00755,0.01,0.91
0.00554,0.01,0.92
0.00377,0.01,0.93
0.00223,0.01,0.94
0.00092,0.01,0.95
0.00034,0.01,0.955
-0.0002,0.01,0.96
-0.0007,0.01,0.965
-0.00115,0.01,0.97
-0.00156,0.01,0.975
-0.00188,0.01,0.98
-0.00207,0.01,0.985
-0.00201,0.01,0.99
-0.00182,0.01,0.9925
-0.00146,0.01,0.995
-0.00089,0.01,0.9975
0.0,0.01,1.0
0.00036,0.01,1.01
0.00132,0.01,1.02
0.0027,0.01,1.03
0.00431,0.01,1.04
0.00603,0.01,1.05
0.00777,0.01,1.06
0.00952,0.01,1.07
0.01123,0.01,1.08
0.01291,0.01,1.09
0.01456,0.01,1.1
0.01616,0.01,1.11
0.01773,0.01,1.12
0.01926,0.01,1.13
0.02076,0.01,1.14
0.01297,0.01,1.15
0.01384,0.01,1.16
0.00298,0.01,1.17
-0.95431,0.01,1.18
0.08996,0.01,1.19
0.1186,0.01,1.2
