x,z,shear,x_0,z_0,St,beta,history
0.3,-0.2,1.6794349878940515,0.3,-0.2,0.01,0.905,False
0.4247019450806181,-0.4639507535324461,1.5459251898213437,0.3,-0.2,0.01,0.905,False
0.5078826287406968,-0.7211006590591399,1.5008150111108396,0.3,-0.2,0.01,0.905,False
0.5634902246721636,-0.971607294224449,1.4810101765187633,0.3,-0.2,0.01,0.905,False
0.6008852390644889,-1.217287174644744,2.437073113114182,0.3,-0.2,0.01,0.905,False
0.3,-0.2,1.8182049226785286,0.3,-0.2,0.015,0.905,False
0.4175820969333229,-0.5872368088862647,1.6490618068395513,0.3,-0.2,0.015,0.905,False
0.481798477840333,-0.9629900273379288,1.594066447859726,0.3,-0.2,0.015,0.905,False
0.5174507653717133,-1.3296038672749166,1.5707067372306345,0.3,-0.2,0.015,0.905,False
0.5378054920759019,-1.6906726532637768,3.2610161142628744,0.3,-0.2,0.015,0.905,False
0.3,-0.2,1.9949282603617897,0.3,-0.2,0.02,0.905,False
0.4117415117161443,-0.7088471483259706,1.7981206116927952,0.3,-0.2,0.02,0.905,False
0.462369277128599,-1.2024252938955786,1.7359321918673807,0.3,-0.2,0.02,0.905,False
0.4863307634036533,-1.685054531220754,1.7105053508924948,0.3,-0.2,0.02,0.905,False
0.4984176364818481,-2.161837836996784,4.284227732388037,0.3,-0.2,0.02,0.905,False
0.3,-0.2,2.2007856944466053,0.3,-0.2,0.025,0.905,False
0.4069467065493832,-0.8288964017568291,1.9850938168377186,0.3,-0.2,0.025,0.905,False
0.4477173476314133,-1.4396715455979372,1.9186345887033511,0.3,-0.2,0.025,0.905,False
0.4646036184786118,-2.038204697957829,1.892546263698424,0.3,-0.2,0.025,0.905,False
0.4723779352742588,-2.6309013331635565,5.410601991511144,0.3,-0.2,0.025,0.905,False
0.3,-0.2,2.4281477659893524,0.3,-0.2,0.03,0.905,False
0.4030049138981848,-0.9474783776342204,2.2013041147484502,0.3,-0.2,0.03,0.905,False
0.4365222853051347,-1.674982844595832,2.132816562821749,0.3,-0.2,0.03,0.905,False
0.4489502278361454,-2.3894003855040458,2.107163019085281,0.3,-0.2,0.03,0.905,False
0.454269164450991,-3.098230360724616,6.5911271092534065,0.3,-0.2,0.03,0.905,False
0.3,-0.2,2.6708976185971895,0.3,-0.2,0.035,0.905,False
0.3997580130007047,-1.0646705206877478,2.4391900051224797,0.3,-0.2,0.035,0.905,False
0.4278492974348014,-1.9085782804425824,2.3702972230546435,0.3,-0.2,0.035,0.905,False
0.4373324329186904,-2.738946449627433,2.345926859777566,0.3,-0.2,0.035,0.905,False
0.4411231255622091,-3.5641401655307545,7.8011046395519905,0.3,-0.2,0.035,0.905,False
0.3,-0.2,2.924380173904414,0.3,-0.2,0.04,0.905,False
0.3970770414769023,-1.180537678365714,2.6929143898750945,0.3,-0.2,0.04,0.905,False
0.4210329794268398,-2.140638064382093,2.6248447610493244,0.3,-0.2,0.04,0.905,False
0.428471620423616,-3.0870785168906543,2.60237540999401,0.3,-0.2,0.04,0.905,False
0.43123754452873,-4.028851994327988,9.027481346039746,0.3,-0.2,0.04,0.905,False
0.3,-0.2,3.185149397646599,0.3,-0.2,0.045,0.905,False
0.394857265610824,-1.2951350749309023,2.958240057014578,0.3,-0.2,0.045,0.905,False
0.4155971910742564,-2.3713070453462444,2.8919692601427247,0.3,-0.2,0.045,0.905,False
0.4215475833165314,-3.433968873781499,2.87178631574347,0.3,-0.2,0.045,0.905,False
0.4235896644825821,-4.492509471227532,10.262889284561002,0.3,-0.2,0.045,0.905,False
0.3,-0.2,3.450686261747352,0.3,-0.2,0.05,0.905,False
0.3930138401273802,-1.408510530431654,3.2321732547611424,0.3,-0.2,0.05,0.905,False
0.411199274950993,-2.600700359005771,3.16848100039094,0.3,-0.2,0.05,0.905,False
0.4160216140023256,-3.779740071779445,3.1507552906636547,0.3,-0.2,0.05,0.905,False
0.4175363021238359,-4.955202057338691,11.502897377450354,0.3,-0.2,0.05,0.905,False
0.3,-0.2,6.131536790164774,0.3,-0.2,0.1,0.905,False
0.3849871938769257,-2.482407207723162,6.177361272199093,0.3,-0.2,0.1,0.905,False
0.391754823120198,-4.837596631648544,6.150126282263837,0.3,-0.2,0.1,0.905,False
0.392432671128319,-7.18639464801811,6.147670410784947,0.3,-0.2,0.1,0.905,False
0.3925027907057121,-9.53465600251696,23.835206209896747,0.3,-0.2,0.1,0.905,False
0.3,-0.2,10.9960132062368,0.3,-0.2,0.2,0.905,False
0.3815816353958234,-4.3531510176987895,12.348903868547294,0.3,-0.2,0.2,0.905,False
0.3828584052598167,-9.049872840450774,12.347616837920159,0.3,-0.2,0.2,0.905,False
0.3828707907684482,-13.746304290135935,12.34759760338085,0.3,-0.2,0.2,0.905,False
0.3828709092149646,-18.44273012211256,47.67316388206988,0.3,-0.2,0.2,0.905,False
0.3,-0.2,15.11036058845942,0.3,-0.2,0.3,0.905,False
0.3790777823967191,-5.897264660031541,18.59352620530347,0.3,-0.2,0.3,0.905,False
0.3792954435280684,-12.929269125888274,18.626445677050004,0.3,-0.2,0.3,0.905,False
0.3792951082372326,-19.973796172524978,18.62673684078253,0.3,-0.2,0.3,0.905,False
0.3792951032497831,-27.018433876903284,70.72336534825222,0.3,-0.2,0.3,0.905,False
0.3,-0.2,18.544143371594146,0.3,-0.2,0.4,0.905,False
0.3766130766957247,-7.159199766587017,24.802322485745464,0.3,-0.2,0.4,0.905,False
0.3763833248075225,-16.47919793286367,24.990627630158404,0.3,-0.2,0.4,0.905,False
0.3763745255295735,-25.86996097381055,24.996026074573187,0.3,-0.2,0.4,0.905,False
0.3763742731125856,-35.26275268758084,93.17238819089985,0.3,-0.2,0.4,0.905,False
0.3,-0.2,21.407778687618645,0.3,-0.2,0.5,0.905,False
0.3743115610248558,-8.19195093770558,30.860800462357584,0.3,-0.2,0.5,0.905,False
0.3735494268149896,-19.70788900349254,31.431625826722055,0.3,-0.2,0.5,0.905,False
0.3735034992102782,-31.43582271382193,31.4649241069577,0.3,-0.2,0.5,0.905,False
0.3735008204038501,-43.17612131711239,115.0735499067974,0.3,-0.2,0.5,0.905,False
0.3,-0.2,23.811897130006166,0.3,-0.2,0.6,0.905,False
0.3722193827529218,-9.044350143725936,36.67815224998757,0.3,-0.2,0.6,0.905,False
0.3707280220520828,-22.631882022482063,37.918337393109866,0.3,-0.2,0.6,0.905,False
0.3705874324619624,-36.67416603585029,38.034541729431304,0.3,-0.2,0.6,0.905,False
0.3705742648316565,-50.75904200379025,136.4431557801825,0.3,-0.2,0.6,0.905,False
0.3,-0.2,25.84922691711504,0.3,-0.2,0.7,0.905,False
0.3703407716674499,-9.755766414561917,42.20035270314387,0.3,-0.2,0.7,0.905,False
0.3679422111009494,-25.27437095937323,44.40663881235166,0.3,-0.2,0.7,0.905,False
0.3676265671328455,-41.59115319343318,44.69674983042426,0.3,-0.2,0.7,0.905,False
0.3675851029860281,-58.01278680807294,157.2849142178044,0.3,-0.2,0.7,0.905,False
0.3,-0.2,27.592850777878905,0.3,-0.2,0.8,0.905,False
0.3686622952260575,-10.356406755204816,47.40377768585967,0.3,-0.2,0.8,0.905,False
0.3652257215041832,-27.661824617861477,50.85035505653425,0.3,-0.2,0.8,0.905,False
0.3646435419408332,-46.19691048691279,51.43497304551064,0.3,-0.2,0.8,0.905,False
0.3645449769247225,-64.94018326984546,177.59847025715246,0.3,-0.2,0.8,0.905,False
0.3,-0.2,29.0993407651517,0.3,-0.2,0.9,0.905,False
0.3671640109296101,-10.869133125630434,52.28519595744203,0.3,-0.2,0.9,0.905,False
0.3626053251461971,-29.82114240309434,57.20831190913317,0.3,-0.2,0.9,0.905,False
0.3616649141879378,-50.5050654905579,58.22685674286066,0.3,-0.2,0.9,0.905,False
0.3614709652874598,-71.54617569043893,197.38333305221315,0.3,-0.2,0.9,0.905,False
0.3,-0.2,30.412453205154907,0.3,-0.2,1.0,0.905,False
0.3658247453830964,-11.31127567601818,56.85361556540286,0.3,-0.2,1.0,0.905,False
0.3600982506723863,-31.77789298494668,63.44729506606315,0.3,-0.2,1.0,0.905,False
0.3587150917366311,-54.53174989466899,65.04739524488595,0.3,-0.2,1.0,0.905,False
0.3583810468979898,-77.8379948498434,216.64075273723034,0.3,-0.2,1.0,0.905,False
0.3,-0.2,2.531904970219707,0.3,-0.2,0.01,0.75,False
0.400910254019539,-0.99753306185473,2.286283112938605,0.3,-0.2,0.01,0.75,False
0.431894931975578,-1.7656975731024425,2.2180381138950107,0.3,-0.2,0.01,0.75,False
0.4430110409628822,-2.5207144263614154,2.192870858142785,0.3,-0.2,0.01,0.75,False
0.4476625856579431,-3.270320244000005,7.053873506971819,0.3,-0.2,0.01,0.75,False
0.3,-0.2,2.449178748089503,0.3,-0.2,0.01,0.76,False
0.4021181178018785,-0.957111563386364,2.208191068377195,0.3,-0.2,0.01,0.76,False
0.4351048793977086,-1.686360960258943,2.14016262220604,0.3,-0.2,0.01,0.76,False
0.4473307523989593,-2.402636267808166,2.1146280864531146,0.3,-0.2,0.01,0.76,False
0.4525636561185746,-3.113372026036424,6.646355550874237,0.3,-0.2,0.01,0.76,False
0.3,-0.2,2.3704556383712743,0.3,-0.2,0.01,0.77,False
0.4033740350645255,-0.917661506090345,2.134455715906589,0.3,-0.2,0.01,0.77,False
