z_bar,u_bar,St,beta,history
0.0,1.0505805504015475,0.01,0.99,True
-0.033444816053511704,0.9826487254705955,0.01,0.99,True
-0.06688963210702341,0.9191304356128527,0.01,0.99,True
-0.1003344481605351,0.8597389331682609,0.01,0.99,True
-0.13377926421404682,0.80420610049084,0.01,0.99,True
-0.16722408026755853,0.7522812395554646,0.01,0.99,True
-0.2006688963210702,0.7037299402039674,0.01,0.99,True
-0.23411371237458192,0.6583330219213657,0.01,0.99,True
-0.26755852842809363,0.6158855443649558,0.01,0.99,True
-0.3010033444816053,0.5761958821793961,0.01,0.99,True
-0.33444816053511706,0.5390848599211141,0.01,0.99,True
-0.36789297658862874,0.5043849431867315,0.01,0.99,True
-0.4013377926421404,0.471939482293927,0.01,0.99,True
-0.43478260869565216,0.4416020051004031,0.01,0.99,True
-0.46822742474916385,0.4132355557684507,0.01,0.99,True
-0.5016722408026756,0.3867120764900225,0.01,0.99,True
-0.5351170568561873,0.3619118293811683,0.01,0.99,True
-0.568561872909699,0.33872285593602675,0.01,0.99,True
-0.6020066889632106,0.31704047160012644,0.01,0.99,True
-0.6354515050167224,0.2967667931812918,0.01,0.99,True
-0.6688963210702341,0.2778102969646936,0.01,0.99,True
-0.7023411371237458,0.2600854055371933,0.01,0.99,True
-0.7357859531772575,0.2435121014557361,0.01,0.99,True
-0.7692307692307692,0.2280155660157341,0.01,0.99,True
-0.8026755852842808,0.21352584148869083,0.01,0.99,True
-0.8361204013377926,0.19997751530426885,0.01,0.99,True
-0.8695652173913043,0.18730942475107001,0.01,0.99,True
-0.903010033444816,0.1754643808630235,0.01,0.99,True
-0.9364548494983277,0.1643889102448948,0.01,0.99,True
-0.9698996655518394,0.15403301367140712,0.01,0.99,True
-1.0033444816053512,0.1443499403701938,0.01,0.99,True
-1.0367892976588629,0.13529597696960233,0.01,0.99,True
-1.0702341137123745,0.12683025015857213,0.01,0.99,True
-1.1036789297658862,0.11891454216771451,0.01,0.99,True
-1.137123745819398,0.11151311823859737,0.01,0.99,True
-1.1705685618729096,0.10459256530236251,0.01,0.99,True
-1.2040133779264213,0.09812164113940319,0.01,0.99,True
-1.237458193979933,0.0920711333391476,0.01,0.99,True
-1.2709030100334449,0.0864137274232341,0.01,0.99,True
-1.3043478260869565,0.08112388353673243,0.01,0.99,True
-1.3377926421404682,0.07617772115074403,0.01,0.99,True
-1.37123745819398,0.0715529112558824,0.01,0.99,True
-1.4046822742474916,0.06722857555994956,0.01,0.99,True
-1.4381270903010033,0.0631851922347462,0.01,0.99,True
-1.471571906354515,0.05940450778651771,0.01,0.99,True
-1.5050167224080266,0.055869454652183015,0.01,0.99,True
-1.5384615384615383,0.052564074149341763,0.01,0.99,True
-1.57190635451505,0.04947344443222462,0.01,0.99,True
-1.6053511705685617,0.046583613128349924,0.01,0.99,True
-1.6387959866220736,0.04388153435178141,0.01,0.99,True
-1.6722408026755853,0.041355009808638585,0.01,0.99,True
-1.705685618729097,0.038992633728985746,0.01,0.99,True
-1.7391304347826086,0.03678374137649988,0.01,0.99,True
-1.7725752508361203,0.03471836090346889,0.01,0.99,True
-1.806020066889632,0.03278716833377348,0.01,0.99,True
-1.8394648829431437,0.030981445470627776,0.01,0.99,True
-1.8729096989966554,0.029293040539056698,0.01,0.99,True
-1.906354515050167,0.027714331385434218,0.01,0.99,True
-1.9397993311036787,0.0262381910679499,0.01,0.99,True
-1.9732441471571907,0.024857955682665148,0.01,0.99,True
-2.0066889632107023,0.02356739427991259,0.01,0.99,True
-2.040133779264214,0.022360680735229056,0.01,0.99,True
-2.0735785953177257,0.02123236744783568,0.01,0.99,True
-2.1070234113712374,0.02017736074792969,0.01,0.99,True
-2.140468227424749,0.019190897901765876,0.01,0.99,True
-2.1739130434782608,0.01826852561071944,0.01,0.99,True
-2.2073578595317724,0.017406079907266205,0.01,0.99,True
-2.240802675585284,0.016599667357122157,0.01,0.99,True
-2.274247491638796,0.01584564748268136,0.01,0.99,True
-2.3076923076923075,0.015140616328404117,0.01,0.99,True
-2.341137123745819,0.014481391093962974,0.01,0.99,True
-2.374581939799331,0.013864995765774284,0.01,0.99,True
-2.4080267558528425,0.01328864768205,0.01,0.99,True
-2.441471571906354,0.012749744970718992,0.01,0.99,True
-2.474916387959866,0.012245854803507393,0.01,0.99,True
-2.508361204013378,0.01177470241315213,0.01,0.99,True
-2.5418060200668897,0.011334160824166821,0.01,0.99,True
-2.5752508361204014,0.010922241250800418,0.01,0.99,True
-2.608695652173913,0.010537084118841139,0.01,0.99,True
-2.6421404682274248,0.01017695067073441,0.01,0.99,True
-2.6755852842809364,0.009840215116116786,0.01,0.99,True
-2.709030100334448,0.009525357292330214,0.01,0.99,True
-2.74247491638796,0.009230955801783163,0.01,0.99,True
-2.7759197324414715,0.008955681595177848,0.01,0.99,True
-2.809364548494983,0.008698291971635585,0.01,0.99,True
-2.842809364548495,0.008457624968634414,0.01,0.99,True
-2.8762541806020065,0.008232594116432804,0.01,0.99,True
-2.9096989966555182,0.008022183533298827,0.01,0.99,True
-2.94314381270903,0.007825443339402592,0.01,0.99,True
-2.9765886287625416,0.007641485368668382,0.01,0.99,True
-3.0100334448160533,0.007469479159228044,0.01,0.99,True
-3.043478260869565,0.007308648204374881,0.01,0.99,True
-3.0769230769230766,0.007158266447093307,0.01,0.99,True
-3.1103678929765883,0.007017655002339151,0.01,0.99,True
-3.1438127090301,0.0068861790922736,0.01,0.99,True
-3.1772575250836117,0.006763245180615221,0.01,0.99,True
-3.2107023411371234,0.006648298293173291,0.01,0.99,True
-3.2441471571906355,0.006540819512466264,0.01,0.99,True
-3.277591973244147,0.006440323635115042,0.01,0.99,True
-3.311036789297659,0.006346356981435543,0.01,0.99,True
-3.3444816053511706,0.006258495347342198,0.01,0.99,True
-3.3779264214046822,0.006176342089316398,0.01,0.99,True
-3.411371237458194,0.006099526333794672,0.01,0.99,True
-3.4448160535117056,0.006027701302893031,0.01,0.99,True
-3.4782608695652173,0.005960542748909108,0.01,0.99,True
-3.511705685618729,0.005897747490534795,0.01,0.99,True
-3.5451505016722407,0.005839032044171244,0.01,0.99,True
-3.5785953177257523,0.0057841313441674164,0.01,0.99,True
-3.612040133779264,0.005732797546204817,0.01,0.99,True
-3.6454849498327757,0.005684798908426407,0.01,0.99,True
-3.6789297658862874,0.005639918745258632,0.01,0.99,True
-3.712374581939799,0.005597954449203711,0.01,0.99,True
-3.7458193979933108,0.00555871657618614,0.01,0.99,True
-3.7792642140468224,0.00552202799032429,0.01,0.99,True
-3.812709030100334,0.0054877230642662546,0.01,0.99,True
-3.846153846153846,0.0054556469314799285,0.01,0.99,True
-3.8795986622073575,0.005425654787121843,0.01,0.99,True
-3.913043478260869,0.005397611234328605,0.01,0.99,True
-3.9464882943143813,0.005371389672979821,0.01,0.99,True
-3.979933110367893,0.005346871728173134,0.01,0.99,True
-4.013377926421405,0.005323946715831271,0.01,0.99,True
-4.046822742474916,0.005302511143028645,0.01,0.99,True
-4.080267558528428,0.005282468240781753,0.01,0.99,True
-4.113712374581939,0.005263727527194235,0.01,0.99,True
-4.147157190635451,0.005246204398984402,0.01,0.99,True
-4.180602006688963,0.00522981974955127,0.01,0.99,True
-4.214046822742475,0.005214499611854852,0.01,0.99,True
-4.247491638795986,0.005200174824498548,0.01,0.99,True
-4.280936454849498,0.00518678071950618,0.01,0.99,True
-4.31438127090301,0.005174256830384181,0.01,0.99,True
-4.3478260869565215,0.005162546619150995,0.01,0.99,True
-4.381270903010034,0.0051515972211013915,0.01,0.99,True
-4.414715719063545,0.005141359206153473,0.01,0.99,True
-4.448160535117057,0.005131786355700967,0.01,0.99,True
-4.481605351170568,0.005122835453963451,0.01,0.99,True
-4.51505016722408,0.00511446609289256,0.01,0.99,True
-4.548494983277592,0.005106640489753451,0.01,0.99,True
-4.581939799331104,0.00509932331655802,0.01,0.99,True
-4.615384615384615,0.005092481540579837,0.01,0.99,True
-4.648829431438127,0.005086084275230853,0.01,0.99,True
-4.682274247491638,0.005080102640626651,0.01,0.99,True
-4.7157190635451505,0.005074509633210774,0.01,0.99,True
-4.749163879598662,0.0050692800038495845,0.01,0.99,True
-4.782608695652174,0.005064390143847291,0.01,0.99,True
-4.816053511705685,0.0050598179783666025,0.01,0.99,True
-4.849498327759197,0.005055542866773839,0.01,0.99,True
-4.882943143812708,0.005051545509458628,0.01,0.99,True
-4.916387959866221,0.005047807860707537,0.01,0.99,True
-4.949832775919732,0.005044313047238304,0.01,0.99,True
-4.983277591973244,0.005041045292026912,0.01,0.99,True
-5.016722408026756,0.005037989843083618,0.01,0.99,True
-5.050167224080267,0.005035132906856408,0.01,0.99,True
-5.083612040133779,0.00503246158596124,0.01,0.99,True
-5.117056856187291,0.005029963820957947,0.01,0.99,True
-5.150501672240803,0.0050276283359089735,0.01,0.99,True
-5.183946488294314,0.005025444587475159,0.01,0.99,True
-5.217391304347826,0.005023402717318773,0.01,0.99,True
-5.250836120401337,0.005021493507598924,0.01,0.99,True
-5.2842809364548495,0.0050197083393584445,0.01,0.99,True
-5.317725752508361,0.0050180391536143705,0.01,0.99,True
-5.351170568561873,0.005016478414976387,0.01,0.99,True
-5.384615384615384,0.005015019077628974,0.01,0.99,True
-5.418060200668896,0.005013654553523706,0.01,0.99,True
-5.4515050167224075,0.005012378682638088,0.01,0.99,True
-5.48494983277592,0.005011185705166687,0.01,0.99,True
-5.518394648829431,0.005010070235519005,0.01,0.99,True
-5.551839464882943,0.005009027238006703,0.01,0.99,True
