z/h,u_d,depth
0.0,1.0,10.0
-0.0101010101010101,0.2810197394150958,10.0
-0.0202020202020202,0.07897209394092836,10.0
-0.030303030303030304,0.02219271726034447,10.0
-0.0404040404040404,0.006236591621414902,10.0
-0.050505050505050504,0.0017526053522883857,10.0
-0.06060606060606061,0.0004925166993975844,10.0
-0.0707070707070707,0.00013840691452229225,10.0
-0.0808080808080808,3.8895075052302006e-05,10.0
-0.09090909090909091,1.0930283855728502e-05,10.0
-0.10101010101010101,3.0716255208698963e-06,10.0
-0.11111111111111112,8.631874034556162e-07,10.0
-0.12121212121212122,2.4257269918549045e-07,10.0
-0.1313131313131313,6.816771671432296e-08,10.0
-0.1414141414141414,1.915647398758111e-08,10.0
-0.15151515151515152,5.383347328102181e-09,10.0
-0.1616161616161616,1.5128268633242272e-09,10.0
-0.1717171717171717,4.2513421091153106e-10,10.0
-0.18181818181818182,1.1947110516680085e-10,10.0
-0.19191919191919193,3.357373884160788e-11,10.0
-0.20202020202020202,9.434883340459263e-12,10.0
-0.21212121212121213,2.651388457747653e-12,10.0
-0.22222222222222224,7.450924934844488e-13,10.0
-0.23232323232323232,2.0938569835914377e-13,10.0
-0.24242424242424243,5.884151439013444e-14,10.0
-0.25252525252525254,1.6535627040705194e-14,10.0
-0.2626262626262626,4.646837602044185e-15,10.0
-0.27272727272727276,1.3058530920307443e-15,10.0
-0.2828282828282828,3.6697049563687683e-16,10.0
-0.29292929292929293,1.0312595305690368e-16,10.0
-0.30303030303030304,2.898042845498448e-17,10.0
-0.3131313131313131,8.144072452557566e-18,10.0
-0.3232323232323232,2.28864511839542e-18,10.0
-0.33333333333333337,6.43154454785103e-19,10.0
-0.3434343434343434,1.807390972873702e-19,10.0
-0.35353535353535354,5.079125402181643e-20,10.0
-0.36363636363636365,1.4273344969776792e-20,10.0
-0.3737373737373737,4.011091683988499e-21,10.0
-0.38383838383838387,1.1271959398044899e-21,10.0
-0.393939393939394,3.1676430927361626e-22,10.0
-0.40404040404040403,8.901702364807448e-23,10.0
-0.41414141414141414,2.501554078908931e-23,10.0
-0.42424242424242425,7.029860753877578e-24,10.0
-0.4343434343434343,1.975529637179086e-24,10.0
-0.4444444444444445,5.551628238468735e-25,10.0
-0.4545454545454546,1.5601171209039488e-25,10.0
-0.46464646464646464,4.3842370677346345e-26,10.0
-0.47474747474747475,1.2320571583087908e-26,10.0
-0.48484848484848486,3.462323815724399e-27,10.0
-0.4949494949494949,9.729813364655576e-28,10.0
-0.5050505050505051,2.7342696162930265e-28,10.0
-0.5151515151515151,7.683837350612859e-29,10.0
-0.5252525252525252,2.159309969977206e-29,10.0
-0.5353535353535354,6.0680872507941276e-30,10.0
-0.5454545454545455,1.705252297966231e-30,10.0
-0.5555555555555556,4.792095564114635e-31,10.0
-0.5656565656565656,1.3466734466797504e-31,10.0
-0.5757575757575757,3.784418210631724e-32,10.0
-0.5858585858585859,1.0634962193894703e-32,10.0
-0.595959595959596,2.9886343044176848e-33,10.0
-0.6060606060606061,8.39865233434474e-34,10.0
-0.6161616161616162,2.360187090435545e-34,10.0
-0.6262626262626262,6.632591611250795e-35,10.0
-0.6363636363636364,1.863889166240449e-35,10.0
-0.6464646464646464,5.2378964779551115e-36,10.0
-0.6565656565656566,1.4719523033181937e-36,10.0
-0.6666666666666667,4.136476527099289e-37,10.0
-0.6767676767676767,1.1624315557421191e-37,10.0
-0.6868686868686869,3.2666621288253475e-38,10.0
-0.6969696969696969,9.179965401996613e-39,10.0
-0.7070707070707071,2.5797514851086835e-39,10.0
-0.7171717171717172,7.249610901009487e-40,10.0
-0.7272727272727273,2.0372837662625236e-40,10.0
-0.7373737373737373,5.725169531097076e-41,10.0
-0.7474747474747474,1.6088856497361465e-41,10.0
-0.7575757575757576,4.5212862603753905e-42,10.0
-0.7676767676767677,1.2705706867117453e-42,10.0
-0.7777777777777778,3.5705544328819398e-43,10.0
-0.787878787878788,1.003396276295898e-43,10.0
-0.7979797979797979,2.8197416009475476e-44,10.0
-0.8080808080808081,7.924030499161849e-45,10.0
-0.8181818181818181,2.2268089859917344e-45,10.0
-0.8282828282828283,6.257772809705909e-46,10.0
-0.8383838383838385,1.7585576843024264e-46,10.0
-0.8484848484848485,4.941894221890822e-47,10.0
-0.8585858585858586,1.388769826452747e-47,10.0
-0.8686868686868686,3.9027173473730043e-48,10.0
-0.8787878787878788,1.0967406119695951e-48,10.0
-0.888888888888889,3.0820576098185986e-49,10.0
-0.898989898989899,8.66119026381062e-50,10.0
-0.9090909090909092,2.43396543122845e-50,10.0
-0.9191919191919191,6.839923321822247e-51,10.0
-0.9292929292929293,1.922153503431522e-51,10.0
-0.9393939393939393,5.40163197331333e-52,10.0
-0.9494949494949495,1.5179695039594793e-52,10.0
-0.9595959595959597,4.265946759412241e-53,10.0
-0.9696969696969697,1.1993590340575428e-53,10.0
-0.9797979797979798,3.389786136504396e-54,10.0
-0.9898989898989898,1.0214549844561349e-54,10.0
-1.0,5.3207866110359134e-55,10.0
0.0,1.0000069747333589,1.0
-0.010101010101010102,0.8807987948704809,1.0
-0.020202020202020204,0.7758011060402239,1.0
-0.030303030303030307,0.6833199132868101,1.0
-0.04040404040404041,0.6018631583013911,1.0
-0.050505050505050504,0.5301166470898245,1.0
-0.060606060606060615,0.4669228472393367,1.0
-0.07070707070707072,0.41126221270681185,1.0
-0.08080808080808081,0.3622367348295433,1.0
-0.09090909090909091,0.3190554541763849,1.0
-0.10101010101010101,0.28102169949270644,1.0
-0.1111111111111111,0.24752184785688713,1.0
-0.12121212121212123,0.218015424708746,1.0
-0.13131313131313133,0.1920263840273376,1.0
-0.14141414141414144,0.16913542797563055,1.0
-0.15151515151515152,0.14897324209997703,1.0
-0.16161616161616163,0.1312145369435197,1.0
-0.1717171717171717,0.11557279994306416,1.0
-0.18181818181818182,0.1017956729384106,1.0
-0.19191919191919193,0.08966088071654241,1.0
-0.20202020202020202,0.07897264490326561,1.0
-0.21212121212121213,0.06955852534531957,1.0
-0.2222222222222222,0.06126663802295189,1.0
-0.23232323232323232,0.05396320460775844,1.0
-0.24242424242424246,0.04753039413123839,1.0
-0.25252525252525254,0.04186442194231867,1.0
-0.26262626262626265,0.03687387528311348,1.0
-0.27272727272727276,0.03247823846835894,1.0
-0.2828282828282829,0.02860659387429972,1.0
-0.29292929292929293,0.025196477779248536,1.0
-0.30303030303030304,0.022192872596361275,1.0
-0.31313131313131315,0.019547319239674683,1.0
-0.32323232323232326,0.017217135302638638,1.0
-0.33333333333333337,0.015164726435516885,1.0
-0.3434343434343434,0.013356979811666935,1.0
-0.3535353535353536,0.011764729897101768,1.0
-0.36363636363636365,0.010362287904252258,1.0
-0.37373737373737376,0.009127027338305659,1.0
-0.38383838383838387,0.008039018949474688,1.0
-0.393939393939394,0.007080709201647633,1.0
-0.40404040404040403,0.006236637069948814,1.0
-0.4141414141414142,0.005493184598122777,1.0
-0.42424242424242425,0.004838357191324951,1.0
-0.43434343434343436,0.004261590099641494,1.0
-0.4444444444444444,0.003753577970213154,1.0
-0.4545454545454546,0.0033061247180182947,1.0
-0.46464646464646464,0.0029120112931843964,1.0
-0.47474747474747475,0.0025648792114332567,1.0
-0.4848484848484849,0.002259127968582098,1.0
-0.494949494949495,0.00198982468402294,1.0
-0.5050505050505051,0.0017526245154006696,1.0
-0.5151515151515151,0.0015437005604888403,1.0
-0.5252525252525253,0.0013596821153252457,1.0
-0.5353535353535354,0.0011976002924862638,1.0
-0.5454545454545455,0.0010548401221247285,1.0
-0.5555555555555556,0.0009290983629867336,1.0
-0.5656565656565657,0.00081834634274545,1.0
-0.5757575757575758,0.0007207972281312961,1.0
-0.5858585858585859,0.0006348771968064813,1.0
-0.5959595959595959,0.0005592000458813408,1.0
-0.6060606060606061,0.0004925448274153687,1.0
-0.6161616161616161,0.0004338361500821878,1.0
-0.6262626262626263,0.0003821268291925821,1.0
-0.6363636363636364,0.0003365826051573205,1.0
-0.6464646464646465,0.0002964686838429293,1.0
-0.6565656565656566,0.0002611378816673683,1.0
-0.6666666666666667,0.00023002018417283437,1.0
-0.6767676767676768,0.0002026135496174718,1.0
-0.6868686868686869,0.00017847580921443406,1.0
-0.6969696969696969,0.0001572175333396768,1.0
-0.7070707070707072,0.00013849574861443664,1.0
-0.7171717171717172,0.00012200840449606792,1.0
-0.7272727272727273,0.0001074895001031996,1.0
-0.7373737373737373,9.47047926531668e-05,1.0
-0.7474747474747475,8.344801827318545e-05,1.0
-0.7575757575757576,7.353756421319923e-05,1.0
-0.7676767676767677,6.481353877107486e-05,1.0
-0.7777777777777778,5.7135191657375464e-05,1.0
-0.787878787878788,5.03786431808025e-05,1.0
-0.797979797979798,4.4434885617802294e-05,1.0
-0.8080808080808081,3.920802452115142e-05,1.0
-0.8181818181818182,3.4613731593427856e-05,1.0
-0.8282828282828284,3.057788416458398e-05,1.0
-0.8383838383838385,2.703536932344112e-05,1.0
-0.8484848484848485,2.3929033409394643e-05,1.0
-0.8585858585858587,2.1208759915805372e-05,1.0
-0.8686868686868687,1.8830660928302885e-05,1.0
-0.8787878787878788,1.6756369052956296e-05,1.0
-0.8888888888888888,1.4952418410537214e-05,1.0
-0.8989898989898991,1.3389704710058073e-05,1.0
-0.9090909090909092,1.2043015690606956e-05,1.0
-0.9191919191919192,1.0890624355795914e-05,1.0
-0.9292929292929293,9.913938438214077e-06,1.0
-0.9393939393939394,9.097200438470749e-06,1.0
