,St*,epsilon,beta,R
0,0.01070570222124128,0.04,0.9,0.6
1,0.013351774165279086,0.05,0.9,0.6
2,0.015999061946366036,0.06,0.9,0.6
3,0.01866904266347487,0.07,0.9,0.6
4,0.021339232273017428,0.08,0.9,0.6
5,0.024012663608232426,0.09,0.9,0.6
6,0.02670306809026303,0.1,0.9,0.6
7,0.009292940136013492,0.04,0.99,0.6599999999999999
8,0.01159397741455221,0.05,0.99,0.6599999999999999
9,0.0138953086515348,0.06,0.99,0.6599999999999999
10,0.01621139077090661,0.07,0.99,0.6599999999999999
11,0.018533779014860915,0.08,0.99,0.6599999999999999
12,0.0208574774137679,0.09,0.99,0.6599999999999999
13,0.023193610250556412,0.1,0.99,0.6599999999999999
14,0.009018064236682673,0.04,1.03,0.6866666666666666
15,0.011258906861332208,0.05,1.03,0.6866666666666666
16,0.013495532580656933,0.06,1.03,0.6866666666666666
17,0.015729589322352824,0.07,1.03,0.6866666666666666
18,0.017961972659940855,0.08,1.03,0.6866666666666666
19,0.020204711005259883,0.09,1.03,0.6866666666666666
20,0.022446417306098122,0.1,1.03,0.6866666666666666
