force,A,delta,phi,offset,R^2,St,method
inertial_force,0.005464156790690941,0.03787754602011752,1.6874027239226883,-4.312999577665709e-08,0.9999485824248066,0.009,curve_fit
stokes_drag,0.0035056796486094854,0.03767784091770828,4.452513503527813,1.023084179172047e-05,0.9998509902900871,0.009,curve_fit
history_force,0.0022089613296809463,0.03835553979706642,5.231214511515276,-9.514410156458756e-06,0.9994629707195056,0.009,curve_fit
xdot,0.018105408114233276,0.03777776872286611,6.282953362252927,7.243392104371104e-05,0.9999947508699983,0.009,curve_fit
inertial_force,0.005462434763158566,0.04201451861029594,1.700098255008711,-1.7636935106853684e-07,0.9999349107853505,0.01,curve_fit
stokes_drag,0.003422575833862006,0.04181616047777438,4.448373767026854,1.0715550432093498e-05,0.9998509474822412,0.01,curve_fit
history_force,0.0022742562698739813,0.0424564216535675,5.227036924355838,-9.795140250076931e-06,0.9994981985601394,0.01,curve_fit
xdot,0.018073040315344818,0.041895109878062865,0.0,7.944867546546063e-05,0.9999931318587233,0.01,curve_fit
inertial_force,0.005460901088048875,0.04614285532040369,1.7122647663702568,-3.538264343276491e-07,0.9999200926589961,0.011,curve_fit
stokes_drag,0.0033456252323957247,0.04594691647658427,4.444832335702689,1.1202159667458324e-05,0.9998503574854666,0.011,curve_fit
history_force,0.0023326447452634686,0.04655110324286225,5.223476219844819,-1.003686376324856e-05,0.9995279359239316,0.011,curve_fit
xdot,0.018038503530718578,0.04600252462124021,6.282954671894008,8.725463851616263e-05,0.9999911993651761,0.011,curve_fit
inertial_force,0.005459554302246534,0.05026325930485387,1.7248313784214742,-5.821950761394481e-07,0.9999043956899746,0.012,curve_fit
stokes_drag,0.0032739772410186048,0.05007063121047565,4.442662469465739,1.1701628560535769e-05,0.9998490023644149,0.012,curve_fit
history_force,0.0023852076922780334,0.050640143411570075,5.221302645575333,-1.0243664465201155e-05,0.9995527831471863,0.012,curve_fit
xdot,0.0180018351717775,0.05010083128751804,0.0,9.594749269435982e-05,0.9999889157880423,0.012,curve_fit
inertial_force,0.005458390839715703,0.054376331107665425,1.7368761672720618,-8.692902521238382e-07,0.9998881180949157,0.013,curve_fit
stokes_drag,0.0032069550641061952,0.05418775721137304,4.440816451699967,1.2224625024644966e-05,0.999846705533879,0.013,curve_fit
history_force,0.0024327935240130616,0.05472400653256083,5.219468300636766,-1.04184216032378e-05,0.9995733470618199,0.013,curve_fit
xdot,0.01796306709057912,0.054190746849247434,6.282949088956075,0.00010563482837807512,0.9999862363502587,0.013,curve_fit
inertial_force,0.0054574055744861915,0.058482586950641624,1.7493286010372213,-1.2243386593565346e-06,0.9998715846968956,0.014,curve_fit
stokes_drag,0.003144009739299194,0.05829868526118858,4.440136660210689,1.2782056888951853e-05,0.9998434240539346,0.014,curve_fit
history_force,0.0024760809673398457,0.05880307922634905,5.218800822720852,-1.0562946534924455e-05,0.9995902396327414,0.014,curve_fit
xdot,0.017922227224143796,0.058272905541538876,0.0,0.00011643733753775333,0.9999831068831349,0.014,curve_fit
inertial_force,0.005456592030123611,0.06258247527405605,1.7612502697973762,-1.6576462439594248e-06,0.9998551429115644,0.015,curve_fit
